checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,9,0.8051045536994934,0.6880287528038025,"{2: 55, 1: 14, 5: 5, 8: 3, 4: 10, 0: 5, 6: 2, 7: 3, 3: 3}",9.18
13000,100,12,0.8206427693367004,0.6938931941986084,"{4: 31, 11: 4, 2: 6, 0: 19, 3: 16, 9: 3, 5: 3, 6: 2, 8: 8, 1: 6, 10: 1, 7: 1}",4.15
23000,100,10,0.810068666934967,0.67865389585495,"{0: 37, 8: 15, 4: 23, 9: 10, 3: 6, 6: 1, 7: 2, 2: 2, 1: 3, 5: 1}",3.80
33000,100,7,0.7888678312301636,0.6809461116790771,"{1: 53, 6: 3, 0: 13, 2: 9, 5: 17, 3: 1, 4: 4}",3.11
43000,100,8,0.7867916226387024,0.6409770846366882,"{2: 40, 7: 27, 1: 12, 6: 1, 3: 2, 0: 15, 5: 2, 4: 1}",3.80
53000,100,6,0.7768906354904175,0.6969314217567444,"{0: 66, 2: 17, 5: 1, 1: 12, 3: 3, 4: 1}",3.15
63000,100,5,0.7531890869140625,0.6320866346359253,"{1: 56, 2: 29, 3: 3, 0: 11, 4: 1}",4.60
73000,86,4,0.7512494921684265,0.7018876671791077,"{0: 64, 2: 14, 3: 3, 1: 5}",6.99
83000,60,2,0.7232428789138794,0.711847722530365,"{0: 56, 1: 4}",5.89
93000,51,3,0.6403915286064148,0.6151868104934692,"{0: 48, 1: 1, 2: 2}",5.85
103000,41,2,0.6128568053245544,0.5906561613082886,"{0: 39, 1: 2}",5.91
113000,23,2,0.6229713559150696,0.6034281253814697,"{0: 22, 1: 1}",5.83
123000,21,2,0.6224426031112671,0.5774110555648804,"{0: 19, 1: 2}",5.91
133000,16,2,0.6592324376106262,0.6075372099876404,"{0: 14, 1: 2}",5.83
143000,14,2,0.6372793316841125,0.5581398010253906,"{0: 12, 1: 2}",5.97
