checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,7,0.8160995244979858,0.6900198459625244,"{0: 6, 3: 6, 1: 46, 6: 13, 2: 13, 4: 15, 5: 1}",10.74
13000,100,5,0.7438486218452454,0.6503807306289673,"{2: 63, 1: 15, 0: 17, 4: 4, 3: 1}",5.40
23000,100,10,0.8077705502510071,0.6402124166488647,"{0: 12, 2: 20, 3: 36, 1: 15, 5: 4, 6: 3, 8: 5, 4: 3, 7: 1, 9: 1}",5.74
33000,100,10,0.8136294484138489,0.6055007576942444,"{7: 2, 1: 27, 4: 16, 2: 26, 3: 5, 9: 1, 8: 15, 5: 2, 0: 5, 6: 1}",6.12
43000,100,7,0.7702168226242065,0.5617971420288086,"{0: 42, 5: 16, 1: 36, 4: 1, 6: 1, 2: 2, 3: 2}",5.36
53000,98,5,0.7309077978134155,0.5226314663887024,"{1: 46, 0: 46, 3: 3, 4: 2, 2: 1}",7.21
63000,100,8,0.6449572443962097,0.3420306146144867,"{4: 29, 0: 3, 3: 60, 1: 2, 5: 1, 6: 2, 2: 2, 7: 1}",5.08
73000,100,5,0.6217823624610901,0.3286379277706146,"{0: 33, 2: 3, 4: 61, 1: 2, 3: 1}",5.75
83000,70,6,0.6955464482307434,0.47666776180267334,"{2: 34, 5: 1, 0: 32, 3: 1, 4: 1, 1: 1}",6.39
93000,60,2,0.5195474624633789,0.2900696098804474,"{1: 17, 0: 43}",6.46
103000,19,5,0.7750685214996338,0.6958031058311462,"{2: 14, 3: 1, 4: 1, 0: 2, 1: 1}",6.30
113000,11,3,0.7441874146461487,0.6851994395256042,"{0: 9, 1: 1, 2: 1}",6.40
123000,9,3,0.7664345502853394,0.7092889547348022,"{0: 7, 2: 1, 1: 1}",6.39
133000,8,2,0.7213572859764099,0.6840333342552185,"{0: 7, 1: 1}",6.32
143000,7,2,0.762436032295227,0.7119665741920471,"{0: 6, 1: 1}",6.93
