checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,8,0.7340641021728516,0.5299731492996216,"{2: 64, 0: 11, 3: 4, 1: 5, 4: 4, 6: 1, 5: 9, 7: 2}",8.96
13000,100,11,0.7854231595993042,0.5351581573486328,"{1: 3, 9: 54, 4: 14, 5: 3, 2: 4, 3: 6, 0: 8, 7: 4, 8: 2, 10: 1, 6: 1}",4.71
23000,100,6,0.7127020955085754,0.5520180463790894,"{5: 63, 4: 8, 2: 12, 0: 4, 1: 12, 3: 1}",6.89
33000,100,3,0.6077693700790405,0.5645810961723328,"{1: 93, 2: 1, 0: 6}",4.70
43000,100,5,0.6243321895599365,0.5914503335952759,"{0: 93, 3: 1, 4: 1, 1: 3, 2: 2}",4.82
53000,100,3,0.6757048964500427,0.6264032125473022,"{0: 90, 1: 8, 2: 2}",4.82
63000,100,3,0.6348733901977539,0.605015754699707,"{1: 95, 0: 4, 2: 1}",6.42
73000,78,2,0.6366010308265686,0.5985965132713318,"{0: 73, 1: 5}",6.80
83000,86,2,0.6709437370300293,0.6251031756401062,"{1: 78, 0: 8}",6.48
93000,66,2,0.6521401405334473,0.6043102145195007,"{0: 59, 1: 7}",6.32
103000,60,2,0.6062244176864624,0.5757108330726624,"{0: 57, 1: 3}",6.34
113000,65,3,0.6641042828559875,0.5475453734397888,"{0: 50, 2: 14, 1: 1}",6.36
123000,35,1,0.4840123653411865,0.4840123653411865,{0: 35},6.35
133000,51,3,0.6343429088592529,0.44816330075263977,"{0: 36, 2: 14, 1: 1}",6.37
143000,49,2,0.6060250401496887,0.42224517464637756,"{0: 35, 1: 14}",6.39
