checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,68,24,0.9086353778839111,0.2990434765815735,"{16: 1, 4: 2, 0: 3, 2: 2, 18: 1, 5: 4, 6: 3, 21: 2, 20: 2, 15: 1, 14: 5, 1: 4, 8: 2, 13: 2, 9: 6, 11: 2, 23: 2, 3: 6, 12: 6, 10: 6, 22: 1, 19: 1, 7: 3, 17: 1}",11.93
13000,23,9,0.8373377919197083,0.2829841077327728,"{7: 1, 1: 3, 5: 1, 2: 6, 4: 2, 0: 6, 6: 1, 3: 2, 8: 1}",6.80
23000,13,6,0.7198753952980042,0.04574747011065483,"{5: 1, 4: 1, 0: 2, 2: 6, 3: 1, 1: 2}",6.50
33000,2,1,0.798114538192749,0.798114538192749,{0: 2},6.69
43000,7,4,0.728281557559967,0.19822809100151062,"{3: 1, 2: 1, 1: 3, 0: 2}",6.31
53000,6,3,0.6851024627685547,0.19862429797649384,"{2: 1, 1: 3, 0: 2}",6.38
63000,3,2,0.8116793632507324,0.7554859519004822,"{0: 2, 1: 1}",6.34
73000,8,4,0.6320513486862183,0.0,"{0: 5, 3: 1, 2: 1, 1: 1}",6.48
83000,9,5,0.7870124578475952,0.1026674434542656,"{4: 1, 3: 1, 1: 1, 2: 4, 0: 2}",6.40
93000,6,3,0.5120733380317688,2.384185791015625e-07,"{2: 1, 1: 1, 0: 4}",6.28
103000,6,1,0.4564310312271118,0.4564310312271118,{0: 6},6.26
113000,2,1,0.7287403345108032,0.7287403345108032,{0: 2},6.29
123000,2,1,0.6956051588058472,0.6956051588058472,{0: 2},6.57
133000,1,1,nan,nan,{0: 1},6.33
143000,1,1,nan,nan,{0: 1},6.59
