checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,66,10,0.8117978572845459,0.5824798941612244,"{9: 8, 8: 26, 6: 3, 0: 8, 7: 1, 2: 3, 4: 4, 1: 4, 5: 5, 3: 4}",11.04
13000,100,6,0.7503378391265869,0.6049473881721497,"{0: 29, 3: 55, 2: 2, 1: 2, 4: 11, 5: 1}",4.66
23000,100,6,0.7476522326469421,0.6329694986343384,"{3: 3, 1: 61, 0: 23, 2: 11, 5: 1, 4: 1}",4.04
33000,100,5,0.7682650089263916,0.6280096173286438,"{0: 48, 2: 24, 4: 12, 3: 2, 1: 14}",3.75
43000,100,6,0.7676368355751038,0.5709244012832642,"{3: 14, 2: 30, 0: 23, 1: 25, 4: 7, 5: 1}",5.67
53000,100,2,0.7332320213317871,0.6618543863296509,"{1: 60, 0: 40}",3.20
63000,100,3,0.6818760633468628,0.6310932040214539,"{0: 85, 1: 14, 2: 1}",3.53
73000,100,2,0.7097501158714294,0.6308908462524414,"{1: 35, 0: 65}",3.46
83000,100,2,0.6718525886535645,0.5625166893005371,"{0: 30, 1: 70}",4.74
93000,86,1,0.6540600657463074,0.6540600657463074,{0: 86},6.01
103000,94,2,0.6763626933097839,0.5619020462036133,"{0: 59, 1: 35}",6.07
113000,50,1,0.6219788789749146,0.6219788789749146,{0: 50},5.69
123000,47,2,0.6078452467918396,0.439481258392334,"{0: 32, 1: 15}",5.83
133000,53,1,0.5952439308166504,0.5952439308166504,{0: 53},5.83
143000,42,2,0.5813930630683899,0.3877061605453491,"{1: 29, 0: 13}",5.85
