checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,7,0.7878027558326721,0.6972261667251587,"{4: 5, 5: 1, 2: 57, 6: 20, 1: 12, 3: 1, 0: 4}",4.67
13000,100,5,0.715661883354187,0.6856423616409302,"{0: 90, 4: 2, 1: 4, 2: 1, 3: 3}",2.60
23000,100,3,0.7317954897880554,0.6722062230110168,"{0: 84, 2: 5, 1: 11}",3.18
33000,100,5,0.7574059963226318,0.6208174824714661,"{1: 58, 0: 15, 2: 25, 3: 1, 4: 1}",3.16
43000,100,3,0.7712171673774719,0.6113809943199158,"{2: 47, 1: 44, 0: 9}",3.27
53000,100,6,0.773335874080658,0.6333349943161011,"{0: 63, 5: 26, 4: 1, 2: 8, 3: 1, 1: 1}",3.24
63000,100,4,0.7554075121879578,0.6184432506561279,"{2: 63, 1: 29, 3: 4, 0: 4}",3.02
73000,100,3,0.7362053394317627,0.6656547784805298,"{0: 79, 1: 18, 2: 3}",6.34
83000,100,4,0.7229747772216797,0.6708903908729553,"{0: 85, 1: 12, 3: 1, 2: 2}",4.71
93000,100,3,0.7262952923774719,0.6066155433654785,"{2: 64, 1: 28, 0: 8}",5.30
103000,100,3,0.7242152690887451,0.6220935583114624,"{2: 31, 1: 65, 0: 4}",4.97
113000,100,4,0.6800364851951599,0.5742819905281067,"{3: 72, 0: 24, 1: 2, 2: 2}",5.73
123000,99,1,0.6454166173934937,0.6454166173934937,{0: 99},6.68
133000,100,1,0.641261637210846,0.641261637210846,{0: 100},5.74
143000,100,2,0.6517282128334045,0.6427648663520813,"{0: 98, 1: 2}",5.95
