checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,5,3,0.7055624127388,0.16612936556339264,"{0: 3, 1: 1, 2: 1}",11.78
13000,63,11,0.4933730363845825,0.10724984854459763,"{7: 1, 0: 5, 3: 2, 2: 2, 8: 1, 10: 1, 1: 2, 9: 1, 6: 1, 4: 46, 5: 1}",6.67
23000,14,9,0.8885771632194519,0.42342233657836914,"{8: 1, 0: 4, 3: 2, 7: 1, 5: 1, 6: 1, 2: 1, 1: 2, 4: 1}",6.31
33000,10,7,0.8953295350074768,0.4467807710170746,"{5: 2, 4: 1, 3: 1, 1: 1, 0: 2, 2: 2, 6: 1}",6.42
43000,10,6,0.8748065233230591,0.7391214370727539,"{2: 2, 0: 3, 3: 1, 1: 2, 5: 1, 4: 1}",6.35
53000,12,4,0.8373726606369019,0.6982042193412781,"{3: 3, 0: 5, 2: 2, 1: 2}",6.60
63000,4,3,0.8791100382804871,0.7354828119277954,"{0: 2, 2: 1, 1: 1}",6.41
73000,9,4,0.7169981002807617,0.1734754741191864,"{3: 1, 1: 4, 0: 3, 2: 1}",6.45
83000,6,4,0.8237655758857727,0.5293923020362854,"{0: 3, 2: 1, 3: 1, 1: 1}",6.28
93000,12,6,0.7964882254600525,0.2262415587902069,"{3: 1, 4: 4, 0: 3, 1: 2, 5: 1, 2: 1}",6.43
103000,6,3,0.7945318222045898,0.5221537351608276,"{2: 3, 0: 2, 1: 1}",6.23
113000,6,4,0.8598974347114563,0.7188462018966675,"{2: 1, 0: 2, 1: 2, 3: 1}",6.39
123000,2,2,0.9346801042556763,nan,"{1: 1, 0: 1}",6.27
133000,2,2,0.853302001953125,nan,"{1: 1, 0: 1}",6.33
143000,1,1,nan,nan,{0: 1},6.48
