checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,12,0.8481228351593018,0.4688723385334015,"{6: 3, 0: 21, 11: 18, 1: 8, 2: 16, 4: 2, 3: 15, 9: 5, 5: 8, 10: 1, 8: 1, 7: 2}",10.13
13000,97,18,0.8494814038276672,0.5622218251228333,"{17: 5, 2: 4, 6: 4, 3: 15, 1: 14, 8: 8, 0: 5, 7: 2, 4: 7, 9: 7, 16: 1, 10: 16, 14: 2, 5: 2, 11: 2, 13: 1, 12: 1, 15: 1}",7.75
23000,85,15,0.8329224586486816,0.5313733220100403,"{10: 20, 5: 4, 9: 4, 13: 1, 1: 9, 0: 13, 11: 2, 14: 1, 2: 2, 8: 5, 6: 4, 12: 2, 7: 1, 4: 11, 3: 6}",6.55
33000,100,17,0.7617036700248718,0.20489458739757538,"{2: 5, 5: 40, 0: 10, 8: 2, 4: 8, 1: 6, 6: 2, 12: 5, 14: 2, 13: 4, 3: 4, 11: 1, 7: 7, 15: 1, 10: 1, 9: 1, 16: 1}",4.94
43000,85,14,0.8471687436103821,0.5948116779327393,"{11: 24, 0: 8, 4: 2, 9: 7, 1: 7, 3: 11, 12: 2, 2: 4, 6: 3, 13: 2, 5: 7, 8: 3, 7: 3, 10: 2}",6.44
53000,86,20,0.8724076747894287,0.5884366631507874,"{6: 23, 9: 2, 1: 8, 14: 3, 12: 2, 4: 4, 2: 2, 13: 2, 16: 2, 5: 13, 19: 2, 18: 1, 0: 3, 3: 4, 8: 7, 11: 2, 15: 1, 7: 2, 10: 2, 17: 1}",6.51
63000,81,20,0.8820151090621948,0.5562958121299744,"{14: 3, 16: 1, 1: 4, 7: 6, 4: 4, 0: 6, 5: 18, 15: 2, 9: 2, 3: 9, 11: 6, 13: 2, 12: 1, 10: 5, 6: 3, 2: 3, 8: 3, 19: 1, 17: 1, 18: 1}",6.45
73000,93,23,0.88522869348526,0.5631688833236694,"{10: 2, 12: 12, 8: 3, 9: 2, 11: 16, 2: 2, 5: 8, 22: 1, 14: 2, 18: 2, 3: 3, 15: 8, 0: 3, 21: 2, 7: 5, 6: 3, 4: 5, 16: 1, 19: 1, 1: 4, 20: 2, 17: 4, 13: 2}",6.54
83000,66,15,0.867599368095398,0.6077510118484497,"{1: 5, 5: 8, 0: 21, 13: 5, 3: 2, 4: 4, 6: 2, 7: 2, 8: 1, 2: 6, 10: 2, 9: 3, 14: 1, 12: 1, 11: 3}",6.43
93000,52,12,0.8443934917449951,0.5240944623947144,"{6: 2, 2: 7, 0: 4, 3: 17, 1: 2, 4: 5, 5: 5, 10: 1, 11: 5, 8: 1, 7: 1, 9: 2}",6.34
103000,61,16,0.8624091744422913,0.43655744194984436,"{2: 7, 10: 1, 4: 3, 1: 4, 11: 1, 15: 1, 9: 5, 5: 2, 3: 8, 7: 13, 6: 5, 0: 4, 8: 1, 13: 2, 12: 2, 14: 2}",6.40
113000,41,13,0.8426405191421509,0.39579540491104126,"{11: 1, 5: 5, 12: 1, 0: 4, 1: 3, 6: 1, 4: 4, 3: 12, 2: 4, 10: 1, 8: 1, 7: 3, 9: 1}",6.38
123000,46,13,0.8485196828842163,0.3647969365119934,"{10: 1, 6: 4, 3: 5, 8: 3, 1: 3, 2: 2, 5: 4, 7: 2, 11: 1, 9: 1, 12: 13, 0: 6, 4: 1}",6.31
133000,42,11,0.8402087092399597,0.3737149238586426,"{5: 2, 4: 4, 1: 6, 10: 2, 2: 3, 7: 1, 6: 4, 8: 1, 0: 5, 3: 1, 9: 13}",6.34
143000,41,12,0.8459483981132507,0.3173479735851288,"{11: 3, 7: 1, 1: 4, 2: 7, 5: 2, 10: 1, 6: 3, 8: 2, 0: 5, 9: 1, 4: 1, 3: 11}",6.36
