checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,9,0.7973079681396484,0.5189102292060852,"{0: 21, 6: 38, 1: 11, 3: 11, 5: 1, 8: 3, 2: 11, 4: 3, 7: 1}",5.65
13000,100,7,0.7959084510803223,0.6656473278999329,"{5: 7, 2: 27, 1: 33, 3: 2, 0: 2, 4: 24, 6: 5}",3.28
23000,100,4,0.733604907989502,0.7170408964157104,"{0: 93, 3: 3, 2: 1, 1: 3}",4.18
33000,100,5,0.7479217052459717,0.6943855285644531,"{1: 74, 0: 20, 3: 2, 4: 2, 2: 2}",4.39
43000,100,2,0.729435920715332,0.7243744730949402,"{0: 98, 1: 2}",4.72
53000,100,3,0.7164454460144043,0.6964730620384216,"{0: 92, 1: 7, 2: 1}",8.10
63000,67,3,0.7382522225379944,0.7223412990570068,"{0: 62, 1: 1, 2: 4}",6.79
73000,59,4,0.7456241846084595,0.6933726668357849,"{0: 45, 2: 2, 1: 11, 3: 1}",6.39
83000,51,3,0.7618523836135864,0.6963914632797241,"{0: 33, 2: 12, 1: 6}",6.37
93000,24,4,0.7663214206695557,0.6647239327430725,"{0: 11, 1: 10, 3: 1, 2: 2}",6.45
103000,25,4,0.7603927850723267,0.6786674857139587,"{3: 1, 1: 4, 0: 17, 2: 3}",6.57
113000,17,3,0.7341189384460449,0.6299536228179932,"{1: 1, 0: 5, 2: 11}",6.49
123000,15,2,0.6980306506156921,0.5807135701179504,"{0: 5, 1: 10}",6.35
133000,10,2,0.6625117659568787,0.5693463683128357,"{0: 8, 1: 2}",6.32
143000,11,2,0.7170581221580505,0.6086815595626831,"{0: 4, 1: 7}",6.42
