checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,58,14,0.8481237888336182,0.6900624632835388,"{0: 3, 5: 9, 2: 17, 9: 1, 8: 4, 1: 5, 7: 1, 11: 6, 12: 1, 6: 3, 4: 2, 3: 3, 13: 2, 10: 1}",12.36
13000,43,1,0.631829023361206,0.631829023361206,{0: 43},6.58
23000,19,2,0.6225997805595398,0.6013990640640259,"{0: 18, 1: 1}",6.43
33000,16,1,0.600935161113739,0.600935161113739,{0: 16},6.53
43000,11,1,0.6622315645217896,0.6622315645217896,{0: 11},6.53
53000,13,1,0.723645806312561,0.723645806312561,{0: 13},6.48
63000,11,1,0.6821479797363281,0.6821479797363281,{0: 11},6.65
73000,8,1,0.7092205882072449,0.7092205882072449,{0: 8},6.47
83000,10,1,0.7346484065055847,0.7346484065055847,{0: 10},6.42
93000,10,2,0.7368248105049133,0.7011324167251587,"{0: 8, 1: 2}",6.35
103000,10,2,0.730552613735199,0.7081747651100159,"{0: 9, 1: 1}",6.68
113000,9,2,0.7428183555603027,0.7251837849617004,"{0: 8, 1: 1}",6.54
123000,8,1,0.7268170714378357,0.7268170714378357,{0: 8},6.26
133000,8,1,0.7193118929862976,0.7193118929862976,{0: 8},6.49
143000,9,1,0.717604398727417,0.717604398727417,{0: 9},6.38
