checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,41,7,0.8121700882911682,0.4849526882171631,"{2: 18, 4: 2, 0: 11, 3: 3, 5: 4, 6: 1, 1: 2}",11.95
13000,89,11,0.8243297338485718,0.5864182114601135,"{4: 23, 9: 1, 8: 4, 2: 33, 0: 2, 1: 7, 3: 11, 6: 2, 7: 1, 10: 4, 5: 1}",7.18
23000,76,9,0.760178804397583,0.31002938747406006,"{2: 4, 0: 23, 1: 14, 8: 21, 4: 3, 3: 3, 6: 4, 5: 3, 7: 1}",6.49
33000,100,11,0.5822339653968811,0.01846466213464737,"{8: 63, 1: 3, 0: 6, 2: 15, 9: 1, 5: 3, 6: 2, 3: 4, 7: 1, 10: 1, 4: 1}",3.03
43000,100,9,0.5426046252250671,0.016163460910320282,"{7: 66, 6: 8, 1: 6, 2: 6, 5: 4, 3: 2, 0: 4, 4: 3, 8: 1}",2.79
53000,100,13,0.8584735989570618,0.48876217007637024,"{3: 8, 6: 6, 0: 2, 4: 17, 5: 5, 11: 1, 12: 8, 2: 2, 1: 29, 7: 10, 9: 3, 8: 4, 10: 5}",4.96
63000,100,16,0.8549899458885193,0.574278712272644,"{12: 31, 4: 2, 3: 11, 10: 1, 2: 11, 9: 3, 5: 3, 7: 7, 1: 5, 6: 10, 0: 8, 15: 1, 13: 1, 8: 4, 14: 1, 11: 1}",6.02
73000,100,14,0.8398347496986389,0.6156386137008667,"{11: 26, 1: 6, 7: 7, 13: 1, 3: 8, 9: 3, 0: 23, 6: 9, 10: 1, 5: 6, 2: 5, 4: 3, 8: 1, 12: 1}",5.87
83000,99,16,0.8530473709106445,0.5577878355979919,"{8: 12, 9: 9, 6: 2, 12: 5, 10: 2, 14: 12, 2: 9, 13: 5, 5: 21, 4: 7, 1: 4, 3: 5, 0: 2, 7: 2, 15: 1, 11: 1}",6.47
93000,100,13,0.8350660800933838,0.5117687582969666,"{1: 18, 0: 8, 6: 24, 3: 10, 7: 3, 5: 8, 8: 3, 2: 19, 11: 2, 9: 1, 4: 2, 12: 1, 10: 1}",5.56
103000,95,12,0.8412973284721375,0.5148323774337769,"{3: 18, 5: 11, 10: 2, 9: 5, 4: 22, 2: 19, 11: 2, 1: 4, 0: 5, 7: 2, 8: 2, 6: 3}",6.44
113000,47,8,0.8074159622192383,0.5572759509086609,"{3: 5, 0: 9, 1: 19, 5: 2, 7: 2, 4: 7, 6: 1, 2: 2}",6.39
123000,43,8,0.812568724155426,0.5180583596229553,"{2: 7, 4: 5, 1: 6, 0: 18, 7: 1, 3: 2, 6: 1, 5: 3}",6.29
133000,43,8,0.8052384853363037,0.544441819190979,"{1: 3, 5: 5, 2: 20, 3: 6, 0: 3, 6: 1, 4: 4, 7: 1}",6.34
143000,45,8,0.8158645033836365,0.5151052474975586,"{0: 3, 3: 6, 1: 5, 6: 6, 2: 18, 4: 5, 7: 1, 5: 1}",6.36
