checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,47,7,0.8021935820579529,0.4771091043949127,"{0: 18, 6: 15, 3: 2, 4: 1, 2: 8, 1: 2, 5: 1}",12.07
13000,95,11,0.756844162940979,0.5921579003334045,"{1: 54, 7: 1, 4: 3, 9: 19, 0: 2, 10: 1, 3: 3, 8: 2, 5: 4, 2: 5, 6: 1}",6.88
23000,68,12,0.8295710682868958,0.5150249600410461,"{0: 17, 5: 22, 1: 8, 6: 2, 3: 4, 7: 3, 10: 2, 4: 2, 8: 1, 11: 1, 2: 5, 9: 1}",6.52
33000,100,13,0.8366926908493042,0.46573251485824585,"{3: 13, 2: 17, 4: 17, 12: 8, 6: 2, 0: 2, 9: 5, 10: 11, 1: 5, 11: 2, 8: 2, 5: 14, 7: 2}",6.26
43000,100,15,0.8536497950553894,0.4815581142902374,"{1: 12, 5: 16, 2: 18, 4: 2, 11: 10, 10: 1, 3: 2, 13: 8, 6: 13, 14: 6, 0: 6, 8: 2, 12: 1, 7: 1, 9: 2}",5.67
53000,100,12,0.8492963910102844,0.4103272259235382,"{4: 14, 8: 11, 1: 16, 9: 8, 10: 8, 6: 3, 2: 10, 7: 9, 0: 7, 11: 1, 5: 1, 3: 12}",6.28
63000,100,13,0.8548702001571655,0.5276587009429932,"{2: 4, 9: 1, 1: 17, 7: 12, 3: 17, 5: 16, 12: 10, 4: 2, 0: 9, 11: 1, 6: 5, 10: 2, 8: 4}",6.10
73000,100,14,0.8528897166252136,0.5710018873214722,"{0: 25, 8: 14, 6: 9, 1: 3, 3: 24, 4: 3, 5: 3, 12: 1, 2: 9, 7: 2, 13: 1, 10: 1, 11: 1, 9: 4}",6.37
83000,93,15,0.8496385812759399,0.5344628095626831,"{0: 16, 13: 19, 10: 2, 7: 1, 3: 14, 1: 3, 5: 14, 14: 1, 2: 7, 4: 4, 12: 2, 11: 1, 6: 7, 9: 1, 8: 1}",7.07
93000,74,16,0.8369666934013367,0.46292465925216675,"{1: 16, 4: 8, 0: 6, 2: 18, 11: 1, 8: 4, 3: 4, 15: 1, 9: 1, 7: 1, 12: 1, 13: 1, 10: 1, 14: 2, 6: 8, 5: 1}",6.73
103000,63,15,0.8357536196708679,0.4746917486190796,"{1: 2, 7: 13, 5: 2, 2: 16, 14: 1, 10: 1, 12: 2, 13: 1, 0: 9, 3: 8, 6: 2, 4: 3, 9: 1, 8: 1, 11: 1}",6.34
113000,64,11,0.8238686323165894,0.35725197196006775,"{6: 12, 0: 6, 1: 15, 5: 1, 7: 2, 8: 1, 4: 5, 3: 7, 2: 11, 10: 1, 9: 3}",6.43
123000,52,12,0.8143242597579956,0.4338732063770294,"{8: 1, 9: 11, 11: 1, 0: 16, 2: 2, 7: 1, 10: 1, 1: 5, 3: 7, 5: 2, 6: 2, 4: 3}",6.45
133000,53,13,0.8217676281929016,0.3671973645687103,"{11: 1, 9: 1, 6: 12, 10: 1, 0: 11, 3: 2, 7: 1, 8: 2, 1: 2, 2: 6, 5: 6, 12: 5, 4: 3}",6.37
143000,46,15,0.8227378129959106,0.26537948846817017,"{12: 1, 5: 12, 11: 1, 6: 7, 7: 1, 13: 1, 10: 2, 3: 2, 0: 2, 2: 4, 4: 6, 8: 1, 9: 2, 14: 1, 1: 3}",6.32
