checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,72,9,0.78985595703125,0.40557724237442017,"{0: 19, 4: 7, 5: 2, 2: 10, 1: 24, 7: 1, 3: 2, 6: 6, 8: 1}",12.09
13000,74,11,0.8376432061195374,0.45013031363487244,"{5: 5, 0: 7, 4: 2, 2: 18, 3: 8, 1: 14, 10: 2, 7: 7, 6: 5, 9: 5, 8: 1}",6.64
23000,100,16,0.8298072814941406,0.39976784586906433,"{15: 15, 1: 5, 3: 22, 7: 8, 0: 22, 6: 5, 13: 2, 9: 3, 4: 3, 11: 3, 14: 1, 5: 3, 2: 3, 12: 2, 10: 1, 8: 2}",6.24
33000,88,15,0.8455529808998108,0.3973253071308136,"{6: 10, 2: 12, 1: 11, 3: 4, 0: 20, 5: 3, 13: 4, 10: 5, 4: 5, 7: 2, 9: 2, 14: 1, 11: 3, 12: 3, 8: 3}",6.50
43000,84,22,0.8509989380836487,0.27010923624038696,"{4: 13, 8: 10, 5: 2, 12: 1, 19: 5, 20: 14, 6: 2, 17: 1, 16: 1, 3: 2, 13: 1, 9: 5, 2: 3, 0: 3, 14: 2, 10: 3, 21: 3, 18: 3, 15: 1, 1: 5, 11: 3, 7: 1}",6.30
53000,85,24,0.8919576406478882,0.44577041268348694,"{16: 9, 10: 3, 7: 4, 15: 1, 8: 3, 6: 4, 14: 5, 19: 6, 20: 5, 17: 1, 1: 8, 13: 1, 11: 3, 2: 2, 0: 12, 5: 2, 22: 1, 12: 1, 23: 1, 9: 2, 3: 4, 4: 2, 18: 1, 21: 4}",6.59
63000,79,25,0.9095942974090576,0.40259382128715515,"{7: 8, 14: 9, 24: 1, 0: 5, 10: 5, 9: 3, 4: 8, 17: 1, 1: 2, 12: 1, 3: 3, 8: 6, 15: 3, 2: 2, 20: 1, 11: 4, 5: 7, 18: 1, 23: 1, 19: 1, 16: 2, 6: 2, 21: 1, 13: 1, 22: 1}",6.36
73000,69,20,0.9001026749610901,0.4225187301635742,"{0: 9, 11: 2, 14: 9, 8: 9, 13: 1, 10: 3, 19: 3, 4: 2, 15: 1, 3: 2, 17: 1, 2: 2, 6: 6, 1: 7, 18: 1, 12: 3, 5: 3, 16: 1, 9: 3, 7: 1}",6.42
83000,70,22,0.8989116549491882,0.3713585138320923,"{2: 9, 5: 2, 4: 5, 6: 10, 8: 2, 1: 4, 19: 4, 17: 1, 3: 2, 15: 2, 7: 2, 14: 1, 18: 1, 21: 3, 0: 9, 10: 3, 13: 2, 9: 3, 16: 1, 12: 1, 20: 2, 11: 1}",6.34
93000,67,19,0.8881097435951233,0.384080708026886,"{3: 9, 14: 2, 7: 5, 18: 9, 4: 2, 5: 5, 8: 4, 2: 3, 15: 1, 17: 1, 1: 10, 13: 4, 0: 2, 10: 1, 11: 1, 6: 2, 12: 3, 9: 1, 16: 2}",6.39
103000,55,21,0.8957298994064331,0.37785032391548157,"{4: 8, 5: 4, 16: 9, 15: 1, 6: 4, 14: 1, 1: 4, 0: 3, 12: 1, 19: 1, 2: 2, 10: 3, 7: 3, 20: 1, 11: 1, 3: 3, 18: 1, 9: 2, 17: 1, 13: 1, 8: 1}",6.39
113000,43,15,0.8720754981040955,0.36567679047584534,"{1: 9, 14: 1, 13: 1, 6: 8, 11: 1, 3: 4, 0: 5, 2: 2, 12: 1, 4: 2, 10: 1, 8: 1, 5: 1, 9: 3, 7: 3}",6.33
123000,29,13,0.8550698161125183,0.1504117250442505,"{5: 2, 4: 8, 0: 2, 8: 1, 11: 1, 3: 3, 7: 1, 9: 1, 2: 4, 6: 1, 10: 1, 12: 1, 1: 3}",6.35
133000,35,13,0.8572193384170532,0.2282404899597168,"{8: 2, 4: 8, 2: 5, 11: 1, 1: 4, 3: 2, 9: 3, 6: 2, 0: 4, 7: 1, 12: 1, 5: 1, 10: 1}",6.37
143000,35,15,0.8637547492980957,0.13630671799182892,"{2: 4, 4: 2, 9: 8, 14: 1, 1: 2, 7: 1, 6: 2, 5: 2, 3: 3, 0: 2, 12: 3, 10: 1, 13: 1, 8: 2, 11: 1}",6.59
