checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,81,10,0.6140969395637512,0.11216861754655838,"{0: 9, 1: 49, 8: 3, 6: 3, 5: 8, 9: 1, 3: 3, 7: 2, 4: 1, 2: 2}",12.47
13000,100,16,0.8505938053131104,0.6345411539077759,"{0: 32, 1: 19, 2: 10, 4: 3, 15: 1, 6: 4, 12: 10, 8: 2, 11: 2, 7: 1, 14: 4, 9: 3, 10: 3, 5: 2, 3: 2, 13: 2}",4.67
23000,100,10,0.8156830072402954,0.5902020335197449,"{6: 36, 2: 16, 5: 14, 7: 4, 3: 6, 1: 6, 9: 1, 0: 9, 8: 4, 4: 4}",5.39
33000,100,13,0.8079204559326172,0.5464140772819519,"{0: 31, 5: 3, 2: 14, 1: 4, 10: 10, 3: 4, 4: 22, 6: 2, 11: 3, 9: 3, 7: 1, 12: 2, 8: 1}",4.03
43000,100,14,0.831294596195221,0.6733755469322205,"{3: 48, 6: 5, 7: 1, 12: 3, 5: 14, 1: 4, 10: 2, 4: 6, 2: 6, 0: 4, 11: 3, 13: 1, 8: 2, 9: 1}",4.58
53000,100,11,0.819107174873352,0.6487839221954346,"{4: 5, 0: 44, 3: 14, 1: 18, 7: 3, 9: 5, 10: 6, 5: 1, 8: 1, 6: 1, 2: 2}",4.85
63000,100,16,0.8308867812156677,0.594611644744873,"{12: 3, 9: 37, 11: 1, 1: 15, 4: 3, 5: 16, 2: 3, 0: 8, 14: 1, 7: 4, 8: 1, 3: 2, 13: 2, 10: 1, 6: 2, 15: 1}",5.11
73000,100,11,0.8209706544876099,0.6527652144432068,"{4: 3, 1: 10, 2: 45, 0: 11, 7: 13, 5: 7, 8: 3, 9: 2, 10: 1, 6: 2, 3: 3}",5.42
83000,100,12,0.8115944862365723,0.5958378314971924,"{2: 3, 6: 1, 4: 35, 5: 2, 3: 17, 1: 9, 10: 22, 11: 1, 9: 5, 0: 3, 8: 1, 7: 1}",4.46
93000,100,13,0.8300080895423889,0.5526312589645386,"{7: 2, 5: 16, 2: 5, 6: 20, 8: 9, 0: 16, 12: 13, 4: 8, 1: 4, 3: 2, 9: 1, 10: 2, 11: 2}",5.55
103000,100,13,0.8356810212135315,0.6344014406204224,"{1: 36, 8: 2, 4: 16, 5: 9, 0: 8, 12: 2, 2: 13, 10: 1, 3: 2, 7: 7, 11: 1, 9: 1, 6: 2}",5.25
113000,100,13,0.8261569738388062,0.5990955233573914,"{2: 26, 1: 22, 12: 5, 10: 5, 0: 11, 4: 13, 3: 8, 5: 3, 7: 1, 9: 2, 11: 1, 6: 2, 8: 1}",5.98
123000,100,16,0.8350915312767029,0.5476967096328735,"{1: 12, 2: 19, 10: 18, 8: 5, 0: 8, 7: 15, 4: 2, 3: 6, 6: 2, 9: 1, 13: 2, 15: 1, 5: 3, 11: 1, 14: 2, 12: 3}",6.10
133000,100,15,0.8303148746490479,0.5386967062950134,"{10: 1, 0: 11, 8: 7, 6: 22, 14: 12, 7: 7, 4: 5, 2: 17, 3: 2, 1: 7, 5: 3, 9: 2, 13: 1, 12: 2, 11: 1}",6.13
143000,95,11,0.824047327041626,0.6352588534355164,"{3: 14, 0: 28, 4: 6, 8: 5, 2: 28, 1: 6, 9: 1, 10: 1, 5: 3, 6: 1, 7: 2}",6.46
