checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,4,0.6501562595367432,0.17326989769935608,"{3: 42, 0: 25, 1: 31, 2: 2}",3.39
13000,100,3,0.6545562148094177,0.4955690801143646,"{0: 62, 2: 34, 1: 4}",4.60
23000,100,1,0.5686536431312561,0.5686536431312561,{0: 100},3.24
33000,100,2,0.536552369594574,0.5301481485366821,"{0: 99, 1: 1}",9.98
43000,91,2,0.4805360436439514,0.4649095833301544,"{0: 89, 1: 2}",6.65
53000,100,2,0.48372671008110046,0.4703402519226074,"{0: 98, 1: 2}",6.48
63000,92,1,0.4289816617965698,0.4289816617965698,{0: 92},6.58
73000,100,3,0.5226811170578003,0.5043854117393494,"{0: 97, 2: 2, 1: 1}",5.32
83000,95,2,0.5135636925697327,0.4997701942920685,"{0: 93, 1: 2}",6.62
93000,95,3,0.4961487650871277,0.4805394113063812,"{0: 93, 1: 1, 2: 1}",6.64
103000,91,2,0.4271530210971832,0.41651633381843567,"{0: 90, 1: 1}",6.51
113000,69,2,0.4405999779701233,0.42723548412323,"{0: 68, 1: 1}",6.58
123000,73,2,0.41408494114875793,0.40042996406555176,"{0: 72, 1: 1}",6.58
133000,100,2,0.39615893363952637,0.37680521607398987,"{1: 98, 0: 2}",5.09
143000,82,1,0.4153748154640198,0.4153748154640198,{0: 82},6.50
