checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,75,9,0.8358826041221619,0.40871480107307434,"{4: 12, 1: 12, 5: 2, 7: 22, 3: 12, 6: 3, 0: 7, 2: 3, 8: 2}",12.15
13000,47,13,0.8434815406799316,0.5299410223960876,"{0: 11, 2: 6, 6: 3, 8: 1, 1: 3, 5: 6, 11: 3, 9: 1, 12: 1, 7: 1, 4: 4, 3: 5, 10: 2}",6.60
23000,79,5,0.6250168681144714,0.2905918061733246,"{2: 48, 0: 16, 1: 8, 4: 6, 3: 1}",6.42
33000,52,4,0.6289685964584351,0.5151160955429077,"{0: 42, 3: 1, 2: 5, 1: 4}",6.41
43000,58,2,0.7077213525772095,0.6779860258102417,"{1: 7, 0: 51}",6.43
53000,66,2,0.6498194932937622,0.6418547630310059,"{0: 65, 1: 1}",6.44
63000,47,2,0.722905158996582,0.7146217226982117,"{0: 45, 1: 2}",6.28
73000,36,1,0.7196885943412781,0.7196885943412781,{0: 36},7.00
83000,47,1,0.6726261973381042,0.6726261973381042,{0: 47},6.39
93000,33,1,0.6451880931854248,0.6451880931854248,{0: 33},6.33
103000,22,3,0.6951094269752502,0.623902440071106,"{0: 2, 1: 17, 2: 3}",7.50
113000,20,2,0.6489055156707764,0.6314123272895813,"{0: 19, 1: 1}",6.28
123000,11,2,0.5675352215766907,0.5150566697120667,"{0: 10, 1: 1}",6.35
133000,8,1,0.7015784382820129,0.7015784382820129,{0: 8},6.28
143000,5,1,0.7764689922332764,0.7764689922332764,{0: 5},6.37
