checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,9,0.8172028064727783,0.6993775963783264,"{6: 6, 1: 24, 0: 43, 2: 5, 7: 1, 3: 13, 8: 6, 4: 1, 5: 1}",6.03
13000,100,6,0.7550435066223145,0.6678718328475952,"{2: 70, 5: 3, 4: 2, 0: 16, 3: 1, 1: 8}",2.97
23000,100,2,0.6461851596832275,0.6426391005516052,"{0: 99, 1: 1}",3.05
33000,100,3,0.6182284355163574,0.5955817103385925,"{2: 95, 0: 4, 1: 1}",3.20
43000,100,1,0.5877816081047058,0.5877816081047058,{0: 100},3.20
53000,100,1,0.5881560444831848,0.5881560444831848,{0: 100},3.66
63000,100,2,0.5918000340461731,0.5824915766716003,"{0: 98, 1: 2}",3.74
73000,100,1,0.5609752535820007,0.5609752535820007,{0: 100},3.32
83000,100,1,0.5283895134925842,0.5283895134925842,{0: 100},3.57
93000,100,1,0.5090709924697876,0.5090709924697876,{0: 100},4.46
103000,100,1,0.5079755783081055,0.5079755783081055,{0: 100},4.00
113000,100,1,0.4676559567451477,0.4676559567451477,{0: 100},4.66
123000,100,1,0.4707374572753906,0.4707374572753906,{0: 100},4.63
133000,100,1,0.4879031181335449,0.4879031181335449,{0: 100},4.47
143000,100,1,0.48615264892578125,0.48615264892578125,{0: 100},4.56
