checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,27,4,0.7010636925697327,0.16294878721237183,"{3: 7, 0: 6, 1: 12, 2: 2}",13.88
13000,57,14,0.8928428888320923,0.6324857473373413,"{4: 6, 7: 7, 0: 15, 10: 5, 2: 6, 1: 3, 6: 2, 3: 3, 8: 3, 9: 2, 11: 1, 12: 1, 13: 1, 5: 2}",9.23
23000,50,17,0.8963887095451355,0.5485385656356812,"{4: 7, 7: 2, 2: 3, 1: 5, 13: 5, 16: 2, 6: 7, 9: 4, 5: 2, 3: 3, 0: 2, 11: 1, 10: 1, 8: 2, 12: 1, 14: 2, 15: 1}",8.29
33000,77,18,0.8867309093475342,0.5987752676010132,"{7: 6, 3: 8, 14: 6, 0: 7, 6: 3, 1: 12, 15: 2, 10: 2, 12: 3, 9: 2, 11: 2, 17: 1, 2: 2, 8: 9, 5: 2, 4: 7, 13: 2, 16: 1}",6.57
43000,59,18,0.8822503089904785,0.5636383891105652,"{2: 4, 17: 5, 1: 2, 15: 12, 16: 2, 8: 9, 4: 2, 3: 2, 11: 1, 0: 3, 12: 1, 13: 1, 7: 2, 10: 7, 9: 3, 5: 1, 14: 1, 6: 1}",6.82
53000,87,20,0.8890383839607239,0.6435335874557495,"{4: 6, 6: 5, 1: 17, 8: 6, 10: 5, 14: 3, 13: 2, 0: 13, 16: 3, 15: 4, 18: 2, 11: 2, 5: 4, 2: 3, 7: 3, 3: 2, 17: 1, 9: 4, 19: 1, 12: 1}",6.47
63000,65,16,0.8794751763343811,0.6166303753852844,"{6: 12, 3: 4, 1: 3, 2: 3, 7: 6, 8: 4, 0: 6, 4: 3, 10: 2, 14: 4, 12: 2, 5: 11, 9: 2, 11: 1, 15: 1, 13: 1}",6.37
73000,66,13,0.8401543498039246,0.6035698056221008,"{1: 10, 8: 11, 9: 5, 3: 3, 4: 7, 0: 17, 2: 3, 5: 2, 10: 2, 6: 2, 7: 2, 11: 1, 12: 1}",6.61
83000,68,14,0.8470842838287354,0.6374683380126953,"{5: 10, 6: 4, 2: 8, 11: 6, 1: 3, 0: 16, 7: 10, 9: 1, 3: 3, 8: 2, 4: 2, 10: 1, 12: 1, 13: 1}",6.35
93000,59,12,0.8277136087417603,0.5986920595169067,"{0: 7, 7: 7, 8: 19, 3: 3, 1: 3, 2: 7, 5: 5, 6: 3, 4: 2, 11: 1, 10: 1, 9: 1}",7.11
103000,56,9,0.816400408744812,0.6134189367294312,"{6: 19, 2: 10, 3: 8, 7: 2, 1: 7, 0: 3, 8: 5, 5: 1, 4: 1}",6.71
113000,51,9,0.8134287595748901,0.6717648506164551,"{2: 21, 6: 9, 7: 9, 3: 4, 0: 2, 1: 3, 8: 1, 5: 1, 4: 1}",6.52
123000,44,8,0.7956438660621643,0.6254404783248901,"{0: 18, 2: 8, 4: 1, 3: 8, 1: 5, 5: 2, 6: 1, 7: 1}",10.24
133000,33,5,0.7948980331420898,0.6778784394264221,"{0: 15, 4: 3, 3: 5, 2: 7, 1: 3}",6.39
143000,34,7,0.7924319505691528,0.6120142936706543,"{2: 8, 3: 1, 6: 7, 0: 11, 1: 3, 5: 2, 4: 2}",6.31
