checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,9,0.811546266078949,0.6413443684577942,"{0: 31, 6: 38, 5: 3, 4: 4, 7: 1, 3: 9, 8: 1, 2: 3, 1: 10}",7.30
13000,98,11,0.809573769569397,0.5322023034095764,"{4: 4, 1: 8, 8: 4, 3: 14, 9: 5, 0: 19, 2: 30, 6: 8, 7: 4, 10: 1, 5: 1}",9.10
23000,59,8,0.8075519800186157,0.5461041927337646,"{3: 4, 4: 16, 1: 8, 0: 7, 6: 16, 7: 1, 5: 4, 2: 3}",6.43
33000,65,7,0.8059415221214294,0.7198233008384705,"{2: 5, 1: 15, 0: 34, 6: 1, 5: 4, 3: 5, 4: 1}",6.50
43000,54,5,0.7955774664878845,0.6684331893920898,"{0: 22, 4: 5, 2: 23, 3: 1, 1: 3}",6.45
53000,41,6,0.8019453883171082,0.641431450843811,"{4: 14, 3: 7, 1: 13, 0: 5, 5: 1, 2: 1}",6.53
63000,32,5,0.7995493412017822,0.7020239233970642,"{0: 12, 2: 14, 3: 2, 1: 3, 4: 1}",6.33
73000,43,6,0.807941734790802,0.6427797675132751,"{0: 9, 3: 14, 2: 4, 1: 7, 4: 8, 5: 1}",6.44
83000,34,4,0.7813664078712463,0.6294896006584167,"{0: 12, 2: 16, 3: 3, 1: 3}",6.34
93000,24,3,0.7360756993293762,0.6192913055419922,"{0: 17, 1: 3, 2: 4}",6.42
103000,17,3,0.7065773010253906,0.5431234836578369,"{1: 11, 2: 3, 0: 3}",6.32
113000,10,2,0.6792128086090088,0.4914703071117401,"{1: 7, 0: 3}",6.39
123000,11,3,0.6066083312034607,0.4651573598384857,"{0: 9, 2: 1, 1: 1}",6.29
133000,10,3,0.6872193813323975,0.4834270775318146,"{1: 7, 2: 1, 0: 2}",6.40
143000,12,3,0.685544490814209,0.47056058049201965,"{1: 8, 2: 2, 0: 2}",6.27
