checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,4,0.6134958863258362,0.49268895387649536,"{0: 80, 2: 9, 1: 8, 3: 3}",6.78
13000,100,4,0.6505748629570007,0.5852917432785034,"{0: 89, 3: 2, 1: 7, 2: 2}",4.06
23000,100,3,0.595342218875885,0.5800652503967285,"{0: 97, 2: 1, 1: 2}",3.96
33000,100,3,0.5799879431724548,0.5577306151390076,"{0: 96, 2: 2, 1: 2}",3.52
43000,100,3,0.5784050226211548,0.5608713626861572,"{0: 97, 1: 2, 2: 1}",3.55
53000,100,4,0.5897354483604431,0.5658968091011047,"{2: 96, 3: 1, 0: 2, 1: 1}",4.83
63000,100,3,0.5485891699790955,0.5351911783218384,"{0: 98, 1: 1, 2: 1}",4.10
73000,100,2,0.5251657366752625,0.5183983445167542,"{0: 99, 1: 1}",4.41
83000,100,1,0.5514796376228333,0.5514796376228333,{0: 100},4.11
93000,100,1,0.5887371301651001,0.5887371301651001,{0: 100},6.58
103000,100,2,0.6107919216156006,0.6024194955825806,"{0: 98, 1: 2}",5.98
113000,100,2,0.609129011631012,0.5913918614387512,"{0: 96, 1: 4}",7.34
123000,81,2,0.5990317463874817,0.572028636932373,"{0: 76, 1: 5}",6.78
133000,77,2,0.6119962930679321,0.5817968249320984,"{0: 72, 1: 5}",6.56
143000,77,2,0.6299120187759399,0.5905885100364685,"{0: 70, 1: 7}",6.85
