checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,12,0.8209678530693054,0.5353608727455139,"{8: 5, 4: 25, 2: 29, 1: 5, 9: 2, 10: 4, 6: 4, 3: 8, 0: 13, 5: 2, 7: 1, 11: 2}",8.08
13000,100,7,0.783137321472168,0.5317498445510864,"{4: 42, 6: 10, 2: 16, 5: 20, 0: 6, 3: 2, 1: 4}",4.53
23000,100,4,0.7449581623077393,0.5638949275016785,"{3: 52, 1: 10, 2: 27, 0: 11}",4.44
33000,100,4,0.7709895968437195,0.631622314453125,"{0: 41, 3: 45, 2: 1, 1: 13}",5.90
43000,100,4,0.7611173987388611,0.6167980432510376,"{0: 41, 2: 47, 3: 2, 1: 10}",5.32
53000,98,4,0.7661537528038025,0.6540423035621643,"{0: 40, 1: 55, 3: 2, 2: 1}",8.62
63000,100,4,0.7697693109512329,0.6612527966499329,"{1: 58, 3: 36, 0: 5, 2: 1}",7.06
73000,80,4,0.7518060207366943,0.6513296365737915,"{0: 32, 1: 46, 2: 1, 3: 1}",6.44
83000,81,3,0.762028694152832,0.6428932547569275,"{2: 19, 1: 51, 0: 11}",6.42
93000,64,2,0.741730272769928,0.6424497961997986,"{1: 20, 0: 44}",6.33
103000,44,2,0.726162850856781,0.6465466618537903,"{0: 35, 1: 9}",7.17
113000,42,2,0.7163764834403992,0.6346244215965271,"{0: 33, 1: 9}",6.27
123000,36,2,0.6589335799217224,0.6169410347938538,"{0: 32, 1: 4}",6.33
133000,34,2,0.7079614996910095,0.6529815196990967,"{0: 28, 1: 6}",6.28
143000,28,2,0.6548380255699158,0.63144451379776,"{0: 26, 1: 2}",6.32
