checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,15,0.8529822826385498,0.662788450717926,"{2: 22, 12: 13, 11: 2, 3: 13, 7: 6, 4: 3, 1: 4, 6: 5, 5: 16, 0: 7, 8: 4, 13: 1, 10: 2, 9: 1, 14: 1}",7.97
13000,100,12,0.8641456365585327,0.6816290616989136,"{0: 9, 8: 11, 10: 11, 11: 2, 3: 15, 7: 4, 1: 15, 5: 3, 9: 3, 4: 7, 2: 18, 6: 2}",5.50
23000,100,16,0.8597167730331421,0.6586019396781921,"{9: 13, 8: 5, 2: 5, 1: 7, 3: 9, 0: 12, 14: 2, 5: 4, 10: 2, 11: 11, 12: 4, 15: 1, 4: 19, 7: 1, 6: 3, 13: 2}",4.09
33000,100,11,0.8496938347816467,0.6943590044975281,"{9: 13, 1: 23, 4: 27, 7: 11, 8: 7, 2: 4, 0: 4, 5: 2, 3: 5, 10: 3, 6: 1}",3.86
43000,100,14,0.8360188007354736,0.701302707195282,"{0: 33, 4: 3, 1: 31, 6: 5, 8: 4, 5: 6, 2: 5, 9: 2, 13: 1, 12: 1, 3: 6, 10: 1, 11: 1, 7: 1}",3.15
53000,100,11,0.8297490477561951,0.6675196886062622,"{2: 21, 5: 6, 3: 36, 4: 3, 0: 5, 7: 1, 1: 8, 6: 7, 9: 3, 8: 4, 10: 6}",4.26
63000,100,13,0.8302828073501587,0.6547254920005798,"{3: 9, 1: 25, 5: 5, 4: 33, 7: 4, 0: 9, 11: 2, 2: 5, 8: 1, 6: 1, 10: 3, 9: 1, 12: 2}",3.20
73000,100,9,0.7887099981307983,0.5954269170761108,"{5: 21, 2: 36, 8: 3, 4: 10, 0: 4, 1: 16, 6: 3, 3: 6, 7: 1}",3.28
83000,100,7,0.7766290903091431,0.696315348148346,"{1: 10, 2: 65, 5: 3, 0: 12, 4: 6, 3: 3, 6: 1}",3.13
93000,100,7,0.77275151014328,0.7160083055496216,"{0: 72, 6: 16, 1: 5, 2: 4, 3: 1, 5: 1, 4: 1}",3.03
103000,100,6,0.7647621035575867,0.6442267894744873,"{2: 40, 0: 33, 5: 1, 1: 20, 4: 5, 3: 1}",3.00
113000,100,6,0.7556354999542236,0.6796093583106995,"{4: 67, 5: 5, 0: 5, 1: 6, 2: 14, 3: 3}",3.42
123000,100,6,0.7447493672370911,0.7079389691352844,"{1: 84, 3: 3, 2: 3, 5: 4, 4: 2, 0: 4}",3.44
133000,100,5,0.7606579065322876,0.699553370475769,"{1: 67, 0: 25, 3: 1, 2: 4, 4: 3}",3.76
143000,100,5,0.7653635144233704,0.6633583307266235,"{2: 7, 1: 29, 4: 51, 0: 4, 3: 9}",3.98
