checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,11,0.8234145045280457,0.6212301254272461,"{7: 2, 0: 43, 4: 7, 8: 1, 6: 15, 10: 2, 1: 8, 5: 15, 9: 1, 2: 3, 3: 3}",6.64
13000,53,9,0.8166654706001282,0.6262836456298828,"{6: 6, 1: 22, 8: 3, 0: 6, 2: 2, 3: 5, 4: 5, 5: 3, 7: 1}",9.48
23000,70,5,0.7942417860031128,0.6535681486129761,"{1: 47, 4: 2, 0: 15, 2: 4, 3: 2}",6.50
33000,66,7,0.7443475723266602,0.6448537707328796,"{0: 48, 5: 1, 6: 1, 2: 1, 3: 2, 1: 5, 4: 8}",6.58
43000,55,7,0.7820028066635132,0.5937715172767639,"{2: 7, 6: 33, 0: 6, 1: 5, 5: 1, 4: 2, 3: 1}",6.38
53000,94,9,0.8247485756874084,0.5696350932121277,"{1: 9, 0: 3, 2: 43, 6: 16, 4: 8, 3: 12, 7: 1, 5: 1, 8: 1}",6.73
63000,100,11,0.8305079936981201,0.5572969317436218,"{3: 11, 1: 5, 8: 14, 9: 2, 10: 27, 4: 28, 6: 1, 7: 1, 2: 3, 0: 7, 5: 1}",5.22
73000,100,11,0.8244447708129883,0.5914645195007324,"{0: 12, 1: 20, 5: 2, 2: 31, 8: 13, 7: 2, 10: 12, 6: 2, 4: 3, 3: 2, 9: 1}",3.58
83000,100,7,0.828296422958374,0.6417744755744934,"{5: 3, 2: 19, 4: 2, 6: 5, 0: 36, 1: 22, 3: 13}",3.23
93000,100,7,0.8159704804420471,0.6653342247009277,"{3: 8, 4: 29, 6: 2, 0: 39, 5: 5, 1: 13, 2: 4}",3.36
103000,100,6,0.8262003064155579,0.6896299719810486,"{5: 21, 0: 14, 1: 12, 2: 43, 4: 9, 3: 1}",3.57
113000,100,6,0.8097404837608337,0.6398069858551025,"{1: 47, 2: 6, 0: 11, 3: 19, 5: 8, 4: 9}",6.15
123000,84,5,0.7926986217498779,0.7026700377464294,"{0: 56, 1: 9, 3: 9, 2: 6, 4: 4}",6.52
133000,78,5,0.773944616317749,0.6687928438186646,"{1: 48, 2: 10, 3: 7, 0: 10, 4: 3}",6.55
143000,69,7,0.781312108039856,0.6660544872283936,"{0: 42, 1: 9, 2: 7, 4: 6, 5: 2, 6: 2, 3: 1}",6.38
