checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,93,6,0.7552472352981567,0.6120105385780334,"{5: 49, 0: 10, 2: 26, 1: 3, 4: 3, 3: 2}",12.02
13000,58,10,0.8409953117370605,0.715874969959259,"{1: 19, 3: 2, 8: 2, 2: 9, 0: 12, 9: 2, 6: 1, 4: 3, 5: 5, 7: 3}",6.45
23000,84,7,0.7741595506668091,0.7037830948829651,"{0: 59, 4: 3, 2: 7, 1: 5, 5: 1, 3: 2, 6: 7}",6.42
33000,100,8,0.754900336265564,0.6734977960586548,"{1: 10, 2: 72, 4: 4, 5: 3, 0: 5, 7: 1, 6: 1, 3: 4}",6.04
43000,100,10,0.7738518118858337,0.6620141267776489,"{2: 61, 0: 11, 1: 3, 3: 5, 7: 2, 6: 3, 4: 11, 8: 1, 9: 1, 5: 2}",5.52
53000,100,11,0.7998640537261963,0.6143013834953308,"{0: 12, 10: 35, 1: 29, 7: 3, 4: 7, 8: 1, 2: 3, 9: 2, 3: 5, 5: 1, 6: 2}",5.43
63000,100,8,0.7786275148391724,0.6479703783988953,"{3: 7, 1: 35, 0: 44, 6: 1, 5: 4, 7: 3, 2: 5, 4: 1}",5.36
73000,100,10,0.7802822589874268,0.6559572219848633,"{2: 14, 0: 60, 9: 1, 6: 8, 5: 3, 1: 7, 4: 2, 3: 3, 7: 1, 8: 1}",5.79
83000,100,11,0.8052931427955627,0.6421328186988831,"{2: 24, 1: 10, 5: 5, 4: 8, 0: 42, 6: 2, 8: 3, 9: 1, 3: 3, 7: 1, 10: 1}",5.21
93000,100,11,0.7946203351020813,0.6385383009910583,"{0: 18, 4: 7, 3: 51, 2: 6, 5: 2, 1: 7, 7: 1, 8: 4, 10: 1, 6: 2, 9: 1}",6.71
103000,96,10,0.7908551096916199,0.6518110632896423,"{1: 8, 0: 9, 6: 55, 5: 5, 2: 10, 8: 1, 3: 4, 4: 2, 7: 1, 9: 1}",6.38
113000,87,10,0.7761232256889343,0.6171627044677734,"{7: 4, 0: 9, 3: 51, 2: 6, 5: 2, 1: 7, 6: 2, 8: 3, 9: 1, 4: 2}",6.50
123000,79,10,0.7703158855438232,0.5916556715965271,"{1: 8, 5: 45, 8: 1, 6: 3, 4: 2, 2: 7, 0: 9, 7: 1, 9: 2, 3: 1}",6.37
133000,74,10,0.7805368304252625,0.5770166516304016,"{3: 40, 6: 1, 0: 5, 1: 6, 4: 9, 5: 2, 2: 3, 8: 6, 9: 1, 7: 1}",6.47
143000,71,8,0.772280752658844,0.605075478553772,"{6: 43, 7: 1, 0: 4, 3: 10, 2: 7, 4: 2, 1: 3, 5: 1}",6.28
