checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,41,2,0.6270402669906616,0.46464672684669495,"{0: 28, 1: 13}",12.15
13000,41,2,0.6603952646255493,0.4703400731086731,"{0: 23, 1: 18}",6.63
23000,23,1,0.615348219871521,0.615348219871521,{0: 23},6.38
33000,4,1,0.5217389464378357,0.5217389464378357,{0: 4},6.45
43000,4,1,0.6160532832145691,0.6160532832145691,{0: 4},6.32
53000,9,1,0.5964638590812683,0.5964638590812683,{0: 9},6.44
63000,5,1,0.4847087860107422,0.4847087860107422,{0: 5},6.46
73000,4,1,0.30446189641952515,0.30446189641952515,{0: 4},6.35
83000,2,2,0.9942373633384705,nan,"{1: 1, 0: 1}",6.39
