checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,14,0.8539011478424072,0.08341681957244873,"{10: 13, 1: 16, 8: 6, 5: 17, 7: 1, 0: 4, 12: 9, 4: 7, 6: 8, 2: 5, 3: 5, 13: 1, 11: 1, 9: 7}",9.37
13000,50,7,0.739619791507721,0.0779598131775856,"{6: 15, 2: 11, 5: 8, 0: 11, 1: 2, 4: 2, 3: 1}",7.81
23000,31,4,0.6639915108680725,0.04323633760213852,"{2: 14, 1: 11, 0: 3, 3: 3}",6.38
33000,4,2,0.49484455585479736,0.0,"{0: 3, 1: 1}",6.43
43000,4,1,1.7881393432617188e-07,1.7881393432617188e-07,{0: 4},6.26
