checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,87,8,0.8175675272941589,0.6809177994728088,"{5: 4, 7: 15, 0: 45, 2: 3, 3: 5, 4: 7, 1: 6, 6: 2}",11.14
13000,61,10,0.8068082332611084,0.6554834842681885,"{5: 2, 0: 32, 3: 10, 9: 1, 1: 5, 8: 3, 2: 2, 7: 1, 6: 2, 4: 3}",6.03
23000,11,3,0.7867106795310974,0.5570424795150757,"{1: 5, 0: 5, 2: 1}",5.85
33000,8,3,0.8480101823806763,0.6512006521224976,"{1: 3, 2: 1, 0: 4}",6.05
43000,8,4,0.7044607996940613,0.2935376763343811,"{3: 1, 0: 4, 1: 2, 2: 1}",7.13
53000,1,1,nan,nan,{0: 1},6.16
63000,1,1,nan,nan,{0: 1},5.90
73000,1,1,nan,nan,{0: 1},5.98
83000,2,1,0.7419774532318115,0.7419774532318115,{0: 2},6.17
93000,1,1,nan,nan,{0: 1},6.25
103000,1,1,nan,nan,{0: 1},6.32
113000,1,1,nan,nan,{0: 1},5.95
