checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,11,0.8034998178482056,0.33436718583106995,"{7: 31, 0: 4, 4: 23, 2: 5, 1: 10, 10: 2, 8: 1, 6: 19, 5: 1, 9: 2, 3: 2}",9.68
13000,44,8,0.8075116276741028,0.5983433127403259,"{3: 11, 7: 1, 6: 5, 4: 2, 0: 8, 1: 7, 2: 9, 5: 1}",7.87
23000,37,11,0.8420093059539795,0.5810279250144958,"{4: 7, 7: 3, 1: 4, 2: 2, 0: 4, 5: 1, 3: 4, 10: 3, 9: 6, 8: 2, 6: 1}",6.54
33000,44,11,0.8274844288825989,0.5204645395278931,"{3: 2, 4: 3, 9: 9, 5: 2, 2: 8, 10: 4, 1: 10, 6: 1, 0: 2, 7: 1, 8: 2}",6.60
43000,36,10,0.8471927642822266,0.6017740964889526,"{8: 2, 3: 9, 5: 3, 0: 5, 1: 5, 7: 1, 2: 6, 4: 3, 9: 1, 6: 1}",6.83
53000,31,8,0.8496556878089905,0.6940397620201111,"{4: 2, 2: 4, 3: 4, 6: 9, 0: 7, 1: 3, 5: 1, 7: 1}",6.56
63000,24,11,0.8784357905387878,0.6451541185379028,"{5: 2, 2: 4, 7: 1, 3: 2, 0: 2, 8: 3, 6: 2, 1: 4, 4: 2, 10: 1, 9: 1}",6.60
73000,24,13,0.8878833651542664,0.6063976287841797,"{10: 2, 8: 1, 11: 1, 0: 4, 12: 1, 1: 3, 6: 2, 2: 3, 7: 1, 5: 1, 3: 2, 4: 2, 9: 1}",7.42
83000,25,8,0.8770098686218262,0.6976109743118286,"{0: 7, 4: 4, 1: 2, 3: 3, 7: 2, 5: 2, 6: 1, 2: 4}",6.78
93000,15,8,0.8994884490966797,0.5648989677429199,"{3: 2, 2: 3, 1: 2, 0: 2, 7: 2, 5: 1, 4: 2, 6: 1}",6.54
103000,16,8,0.8811861872673035,0.5018285512924194,"{6: 1, 5: 3, 4: 2, 2: 2, 3: 2, 1: 2, 7: 2, 0: 2}",6.97
113000,14,8,0.8896012306213379,0.515442967414856,"{0: 3, 1: 2, 7: 2, 6: 1, 3: 2, 4: 1, 2: 2, 5: 1}",6.42
123000,11,6,0.8887494206428528,0.507486879825592,"{2: 3, 0: 2, 1: 2, 3: 2, 4: 1, 5: 1}",6.38
133000,8,4,0.8587117195129395,0.6154948472976685,"{0: 3, 2: 3, 3: 1, 1: 1}",6.58
143000,14,7,0.8885409832000732,0.5985184907913208,"{4: 2, 0: 3, 1: 2, 2: 2, 3: 3, 5: 1, 6: 1}",6.43
