checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,38,6,0.8278185129165649,0.6673107147216797,"{1: 5, 0: 17, 2: 5, 4: 5, 5: 5, 3: 1}",12.20
13000,34,11,0.8738276958465576,0.6129015684127808,"{8: 2, 5: 2, 1: 9, 4: 5, 2: 2, 3: 3, 7: 1, 6: 4, 0: 2, 10: 1, 9: 3}",6.50
23000,27,11,0.8796015381813049,0.5530752539634705,"{10: 2, 7: 2, 1: 4, 2: 2, 0: 3, 8: 5, 3: 2, 6: 1, 9: 2, 4: 3, 5: 1}",6.26
33000,26,10,0.8596813082695007,0.4933481216430664,"{4: 5, 1: 2, 3: 2, 0: 4, 2: 4, 6: 2, 7: 1, 9: 3, 5: 1, 8: 2}",6.31
43000,25,7,0.8706235885620117,0.5898123979568481,"{0: 6, 3: 3, 2: 4, 1: 6, 4: 2, 6: 2, 5: 2}",6.42
53000,27,7,0.8445942401885986,0.5296205282211304,"{2: 5, 6: 1, 5: 3, 0: 6, 4: 6, 3: 3, 1: 3}",6.47
63000,42,6,0.7371127009391785,0.5992173552513123,"{4: 2, 0: 31, 2: 4, 3: 2, 5: 1, 1: 2}",6.37
73000,26,5,0.7925199270248413,0.5334227085113525,"{3: 5, 2: 1, 1: 13, 4: 4, 0: 3}",6.23
83000,14,4,0.718925952911377,0.42990508675575256,"{1: 8, 3: 1, 0: 4, 2: 1}",6.43
93000,14,3,0.53369140625,0.22404934465885162,"{1: 10, 0: 3, 2: 1}",6.75
103000,6,4,0.8484470844268799,0.69373619556427,"{3: 1, 0: 2, 2: 2, 1: 1}",6.39
113000,1,1,nan,nan,{0: 1},6.23
123000,1,1,nan,nan,{0: 1},6.37
133000,2,2,1.0525624752044678,nan,"{1: 1, 0: 1}",6.54
143000,1,1,nan,nan,{0: 1},6.36
