checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,19,0.8594123721122742,0.5017180442810059,"{2: 11, 10: 5, 6: 7, 0: 5, 15: 8, 16: 1, 4: 3, 9: 3, 5: 8, 7: 3, 1: 27, 12: 1, 14: 1, 3: 2, 11: 2, 17: 1, 13: 8, 8: 2, 18: 2}",5.10
13000,43,4,0.6623982787132263,0.10272594541311264,"{3: 4, 0: 23, 2: 8, 1: 8}",10.17
23000,31,3,0.41115888953208923,2.7931884361009907e-08,"{2: 2, 1: 21, 0: 8}",6.32
33000,81,5,0.4938236176967621,0.08872406929731369,"{0: 57, 4: 2, 3: 14, 2: 1, 1: 7}",6.42
43000,92,6,0.5991352796554565,0.08400097489356995,"{1: 55, 0: 6, 5: 16, 4: 1, 3: 2, 2: 12}",6.46
53000,27,2,0.3182046115398407,0.024860786274075508,"{0: 6, 1: 21}",6.30
63000,80,5,0.47848719358444214,0.09368670731782913,"{1: 57, 0: 6, 3: 2, 4: 14, 2: 1}",6.57
73000,30,3,0.44977322220802307,0.025175804272294044,"{0: 6, 1: 3, 2: 21}",6.34
83000,43,4,0.6063622832298279,0.0192093588411808,"{0: 6, 1: 3, 2: 21, 3: 13}",7.16
93000,27,2,0.3290962874889374,0.02652740851044655,"{0: 6, 1: 21}",6.26
103000,27,2,0.32264068722724915,0.026024658232927322,"{0: 6, 1: 21}",6.45
113000,27,2,0.32276108860969543,0.025815460830926895,"{0: 6, 1: 21}",6.28
123000,27,2,0.32033681869506836,0.025471234694123268,"{0: 6, 1: 21}",6.31
133000,25,2,0.23103156685829163,0.0,"{1: 4, 0: 21}",6.25
143000,25,2,0.232225239276886,5.794895940880451e-08,"{1: 4, 0: 21}",6.34
