checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,77,2,0.7314958572387695,0.7066424489021301,"{1: 10, 0: 67}",12.12
13000,100,12,0.8331804275512695,0.604663610458374,"{0: 26, 1: 13, 2: 4, 8: 31, 5: 4, 7: 3, 6: 5, 11: 1, 4: 5, 3: 3, 9: 4, 10: 1}",5.45
23000,86,11,0.8540099263191223,0.6530081033706665,"{4: 3, 5: 12, 3: 5, 8: 4, 1: 28, 0: 13, 10: 9, 9: 4, 6: 1, 2: 4, 7: 3}",6.61
33000,100,11,0.7527759671211243,0.17634694278240204,"{4: 4, 1: 47, 3: 7, 2: 19, 5: 3, 6: 6, 0: 5, 10: 3, 9: 4, 7: 1, 8: 1}",3.51
43000,100,3,0.16200457513332367,0.006534226704388857,"{1: 92, 2: 5, 0: 3}",1.77
53000,100,3,0.13977141678333282,0.004823755007237196,"{1: 93, 2: 3, 0: 4}",1.63
63000,100,3,0.04348158836364746,0.0025100712664425373,"{0: 98, 2: 1, 1: 1}",2.17
73000,100,5,0.3770453631877899,0.02814977429807186,"{3: 77, 1: 5, 2: 1, 0: 16, 4: 1}",3.34
83000,97,3,0.7474831938743591,0.6674160957336426,"{2: 41, 1: 6, 0: 50}",6.52
93000,66,5,0.7324353456497192,0.605053186416626,"{4: 7, 1: 41, 0: 16, 2: 1, 3: 1}",6.61
103000,57,5,0.7038434743881226,0.5865257978439331,"{4: 4, 0: 42, 2: 7, 3: 1, 1: 3}",6.42
113000,47,4,0.7023371458053589,0.6084825992584229,"{0: 36, 1: 8, 3: 1, 2: 2}",6.43
123000,39,3,0.6690877676010132,0.5327298045158386,"{0: 29, 1: 8, 2: 2}",6.37
133000,32,2,0.6944913268089294,0.5971810221672058,"{0: 24, 1: 8}",6.50
143000,32,3,0.6793236136436462,0.5008851289749146,"{1: 4, 0: 21, 2: 7}",7.88
