checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,8,0.6879081726074219,0.43295735120773315,"{0: 14, 1: 70, 2: 2, 5: 1, 4: 9, 6: 1, 3: 2, 7: 1}",11.70
13000,84,5,0.6351834535598755,0.4021560549736023,"{2: 59, 1: 11, 0: 8, 3: 2, 4: 4}",6.83
23000,70,3,0.5526314973831177,0.3026621639728546,"{2: 47, 0: 22, 1: 1}",6.37
33000,57,4,0.6951401829719543,0.561359167098999,"{0: 34, 1: 21, 2: 1, 3: 1}",6.32
43000,31,2,0.626318633556366,0.5671431422233582,"{0: 27, 1: 4}",6.26
53000,32,2,0.6565102338790894,0.6451404094696045,"{0: 31, 1: 1}",6.33
63000,25,2,0.6684303879737854,0.6532796621322632,"{0: 24, 1: 1}",6.44
73000,21,3,0.5287584662437439,0.4144405126571655,"{2: 18, 0: 2, 1: 1}",6.33
83000,14,3,0.4984202980995178,0.3687652349472046,"{0: 12, 2: 1, 1: 1}",6.64
93000,9,2,0.4121720492839813,0.28350260853767395,"{0: 8, 1: 1}",6.25
103000,11,3,0.5601075887680054,0.3781641721725464,"{0: 9, 2: 1, 1: 1}",6.39
113000,9,2,0.5480913519859314,0.32165956497192383,"{1: 7, 0: 2}",6.38
123000,3,2,0.8188194632530212,0.7627422213554382,"{0: 2, 1: 1}",6.36
133000,3,2,0.5848831534385681,0.006345629692077637,"{0: 2, 1: 1}",6.39
143000,2,2,0.9402406811714172,nan,"{1: 1, 0: 1}",6.26
