checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,11,3,0.6655904650688171,0.549767017364502,"{1: 1, 0: 9, 2: 1}",11.77
13000,42,7,0.7704381942749023,0.47973987460136414,"{2: 12, 0: 2, 4: 1, 1: 19, 3: 1, 5: 1, 6: 6}",6.60
23000,58,12,0.8386316895484924,0.4116184115409851,"{9: 1, 2: 17, 0: 9, 3: 4, 11: 9, 5: 6, 8: 1, 4: 2, 6: 4, 1: 3, 10: 1, 7: 1}",6.46
33000,70,14,0.8361507058143616,0.5443147420883179,"{2: 4, 10: 1, 9: 1, 12: 7, 0: 26, 6: 3, 3: 6, 7: 3, 13: 2, 4: 3, 5: 9, 11: 1, 8: 2, 1: 2}",6.64
43000,98,15,0.8405328989028931,0.5380185842514038,"{1: 41, 3: 2, 0: 9, 2: 12, 5: 2, 7: 10, 10: 3, 12: 4, 14: 3, 9: 2, 4: 3, 6: 4, 11: 1, 8: 1, 13: 1}",6.41
53000,97,20,0.867796778678894,0.4480450749397278,"{11: 27, 7: 13, 2: 4, 3: 2, 0: 3, 4: 12, 18: 2, 1: 2, 5: 2, 6: 3, 8: 3, 16: 3, 14: 10, 9: 2, 17: 1, 12: 4, 10: 1, 19: 1, 15: 1, 13: 1}",6.49
63000,100,18,0.8616105318069458,0.5351077318191528,"{6: 36, 1: 2, 2: 5, 17: 1, 4: 13, 9: 2, 3: 3, 13: 3, 15: 1, 0: 7, 10: 13, 5: 4, 7: 3, 11: 1, 8: 1, 16: 3, 14: 1, 12: 1}",6.18
73000,100,16,0.8525896668434143,0.5687313079833984,"{5: 40, 1: 3, 3: 2, 11: 15, 9: 1, 2: 18, 8: 2, 13: 1, 0: 6, 7: 2, 4: 4, 10: 2, 14: 1, 15: 1, 12: 1, 6: 1}",5.14
83000,100,17,0.8468418717384338,0.5366973876953125,"{0: 36, 2: 3, 11: 1, 7: 2, 12: 1, 16: 1, 13: 11, 5: 8, 14: 2, 3: 17, 6: 3, 4: 6, 1: 3, 8: 3, 9: 1, 15: 1, 10: 1}",5.10
93000,98,17,0.8471168875694275,0.5110257863998413,"{0: 7, 1: 6, 2: 28, 10: 2, 14: 13, 7: 15, 4: 5, 11: 1, 13: 6, 5: 2, 12: 2, 15: 1, 3: 2, 6: 4, 8: 2, 16: 1, 9: 1}",6.40
103000,87,15,0.8345454931259155,0.48246294260025024,"{12: 2, 1: 4, 2: 27, 9: 2, 4: 3, 6: 12, 10: 3, 0: 6, 14: 2, 3: 5, 8: 6, 5: 12, 13: 1, 11: 1, 7: 1}",6.38
113000,71,13,0.8231565356254578,0.5401125550270081,"{10: 2, 9: 1, 6: 20, 4: 5, 0: 25, 5: 3, 3: 2, 1: 4, 8: 2, 2: 3, 7: 1, 11: 1, 12: 2}",6.41
123000,63,12,0.8184272050857544,0.4322478771209717,"{2: 17, 7: 1, 5: 5, 11: 11, 10: 3, 3: 3, 0: 4, 9: 1, 1: 13, 6: 2, 4: 2, 8: 1}",6.55
133000,59,10,0.8174287676811218,0.4814128875732422,"{5: 18, 2: 6, 9: 8, 3: 3, 4: 2, 0: 2, 1: 14, 8: 3, 7: 1, 6: 2}",6.58
143000,65,9,0.8127703666687012,0.5983930230140686,"{3: 20, 5: 1, 1: 6, 0: 29, 6: 2, 2: 2, 4: 1, 7: 2, 8: 2}",6.33
