checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,11,0.8399345874786377,0.6545150876045227,"{0: 12, 3: 11, 5: 8, 8: 18, 6: 3, 7: 1, 2: 11, 1: 21, 4: 10, 10: 3, 9: 2}",9.40
13000,100,5,0.7789419293403625,0.5754657983779907,"{1: 28, 2: 7, 4: 6, 0: 20, 3: 39}",4.14
23000,100,2,0.734049379825592,0.7282378077507019,"{1: 4, 0: 96}",4.07
33000,100,4,0.7435377240180969,0.73185133934021,"{1: 4, 0: 93, 3: 1, 2: 2}",3.95
43000,100,2,0.7360981702804565,0.7299684286117554,"{1: 3, 0: 97}",3.97
53000,100,4,0.7452160120010376,0.7329540848731995,"{0: 94, 1: 4, 2: 1, 3: 1}",4.07
63000,100,5,0.750400960445404,0.7177734375,"{0: 84, 1: 5, 3: 5, 2: 4, 4: 2}",4.40
73000,100,4,0.759496808052063,0.7348328232765198,"{2: 88, 1: 4, 0: 6, 3: 2}",3.99
83000,100,6,0.7316166758537292,0.7022400498390198,"{4: 2, 0: 89, 3: 1, 1: 2, 2: 2, 5: 4}",4.17
93000,100,5,0.7071017026901245,0.6769037246704102,"{1: 3, 0: 90, 3: 1, 4: 3, 2: 3}",4.27
103000,100,1,0.6904908418655396,0.6904908418655396,{0: 100},4.36
113000,100,2,0.6412299871444702,0.6346502900123596,"{0: 98, 1: 2}",4.64
123000,100,3,0.6713308691978455,0.66275954246521,"{0: 97, 2: 2, 1: 1}",5.03
133000,100,2,0.5853132009506226,0.5804966688156128,"{0: 99, 1: 1}",4.69
143000,100,3,0.6125133037567139,0.5939246416091919,"{0: 96, 2: 1, 1: 3}",4.90
