checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,3,0.1060258075594902,0.056825656443834305,"{1: 97, 0: 2, 2: 1}",4.82
13000,100,3,0.2422499656677246,0.2065894603729248,"{0: 97, 2: 2, 1: 1}",2.84
23000,100,2,0.24745528399944305,0.23474201560020447,"{0: 99, 1: 1}",3.00
33000,100,2,0.16610413789749146,0.1521690934896469,"{0: 99, 1: 1}",2.81
43000,100,3,0.29797130823135376,0.22838498651981354,"{1: 94, 0: 4, 2: 2}",2.93
53000,100,2,0.31527748703956604,0.259244441986084,"{0: 95, 1: 5}",2.97
63000,100,2,0.343057245016098,0.22607946395874023,"{1: 89, 0: 11}",2.89
73000,100,2,0.36726799607276917,0.3088899254798889,"{0: 94, 1: 6}",3.05
83000,100,4,0.6529139280319214,0.6080002784729004,"{0: 92, 1: 6, 2: 1, 3: 1}",6.53
93000,100,5,0.6790024638175964,0.6480511426925659,"{0: 92, 2: 1, 4: 2, 1: 4, 3: 1}",7.41
103000,100,4,0.7068785429000854,0.41809210181236267,"{0: 33, 1: 46, 2: 20, 3: 1}",4.54
113000,93,7,0.7652263045310974,0.504755973815918,"{0: 26, 2: 12, 5: 33, 6: 18, 1: 2, 3: 1, 4: 1}",7.01
123000,80,7,0.6800061464309692,0.3491520583629608,"{0: 39, 5: 10, 2: 25, 6: 3, 4: 1, 3: 1, 1: 1}",6.52
133000,97,4,0.6714029908180237,0.4592287540435791,"{0: 30, 2: 65, 3: 1, 1: 1}",6.73
143000,83,6,0.6702868342399597,0.4015668034553528,"{4: 3, 0: 27, 1: 50, 5: 1, 3: 1, 2: 1}",6.40
