checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,7,0.783580482006073,0.44786468148231506,"{0: 33, 4: 15, 2: 24, 1: 14, 3: 4, 5: 6, 6: 4}",9.25
13000,100,10,0.8430257439613342,0.6531763672828674,"{0: 39, 2: 17, 1: 6, 3: 21, 7: 2, 5: 2, 8: 1, 6: 10, 9: 1, 4: 1}",4.32
23000,100,11,0.8299374580383301,0.5517538785934448,"{0: 27, 1: 30, 6: 3, 4: 2, 8: 8, 5: 2, 3: 5, 9: 1, 10: 12, 2: 9, 7: 1}",4.53
33000,100,11,0.812049388885498,0.5806326866149902,"{0: 29, 10: 22, 4: 5, 6: 7, 2: 14, 1: 17, 9: 1, 7: 1, 3: 2, 5: 1, 8: 1}",4.25
43000,100,10,0.7871268391609192,0.47409921884536743,"{5: 2, 9: 37, 3: 2, 1: 7, 4: 23, 2: 22, 7: 1, 0: 2, 6: 3, 8: 1}",3.92
53000,100,8,0.7506502270698547,0.38918495178222656,"{2: 10, 5: 46, 0: 10, 7: 15, 3: 5, 4: 2, 1: 11, 6: 1}",3.35
63000,100,7,0.8051295876502991,0.5621798038482666,"{0: 32, 6: 25, 1: 17, 2: 21, 5: 2, 4: 1, 3: 2}",3.91
73000,100,7,0.7942144870758057,0.6239944696426392,"{2: 41, 0: 35, 1: 17, 3: 2, 4: 3, 6: 1, 5: 1}",6.21
83000,65,7,0.8146655559539795,0.6493714451789856,"{2: 25, 6: 5, 0: 18, 3: 1, 5: 9, 1: 5, 4: 2}",7.33
93000,85,6,0.7958168983459473,0.609937310218811,"{1: 26, 3: 6, 0: 18, 2: 16, 5: 17, 4: 2}",6.58
103000,59,7,0.7994797825813293,0.6888574361801147,"{0: 32, 2: 7, 1: 2, 3: 9, 4: 5, 5: 2, 6: 2}",6.45
113000,32,4,0.753965437412262,0.6781606674194336,"{0: 23, 1: 5, 3: 3, 2: 1}",6.23
123000,20,3,0.7451537847518921,0.6637254357337952,"{2: 5, 0: 14, 1: 1}",6.27
133000,16,3,0.7206165194511414,0.5771496891975403,"{2: 6, 1: 1, 0: 9}",6.28
143000,9,2,0.6338080763816833,0.5824003219604492,"{0: 8, 1: 1}",6.37
