checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,42,0.8960582613945007,0.17952217161655426,"{3: 10, 18: 4, 27: 1, 6: 4, 28: 1, 23: 1, 41: 1, 15: 2, 24: 1, 7: 4, 36: 4, 16: 3, 35: 4, 21: 1, 30: 1, 39: 1, 32: 1, 5: 3, 9: 6, 29: 1, 37: 2, 25: 1, 14: 1, 0: 5, 20: 1, 22: 1, 11: 1, 34: 1, 8: 2, 26: 1, 10: 1, 4: 2, 13: 1, 17: 6, 33: 1, 1: 7, 38: 1, 2: 5, 12: 3, 31: 1, 40: 1, 19: 1}",3.05
13000,100,20,0.8640177249908447,0.18478743731975555,"{7: 5, 12: 24, 5: 8, 0: 4, 3: 5, 9: 3, 6: 6, 14: 2, 10: 2, 18: 1, 4: 9, 19: 1, 1: 10, 17: 1, 2: 10, 13: 1, 11: 1, 16: 1, 15: 1, 8: 5}",3.45
23000,100,15,0.7805257439613342,0.14221088588237762,"{3: 4, 9: 35, 2: 11, 5: 3, 11: 2, 8: 1, 4: 12, 1: 18, 0: 2, 13: 1, 12: 1, 14: 1, 10: 1, 6: 7, 7: 1}",6.54
33000,100,12,0.7287999987602234,0.12965963780879974,"{10: 2, 3: 41, 2: 11, 8: 3, 4: 2, 1: 14, 0: 20, 6: 2, 7: 1, 9: 1, 5: 2, 11: 1}",6.99
43000,100,13,0.7225499153137207,0.1186424270272255,"{2: 41, 3: 9, 10: 3, 12: 2, 0: 20, 1: 12, 11: 1, 5: 4, 6: 1, 7: 1, 8: 2, 9: 1, 4: 3}",6.73
53000,100,13,0.7024289965629578,0.10087648779153824,"{1: 17, 2: 46, 0: 5, 4: 2, 5: 11, 6: 5, 7: 1, 9: 1, 10: 1, 11: 1, 3: 6, 8: 1, 12: 3}",7.26
63000,100,17,0.7015246152877808,0.06887960433959961,"{15: 1, 4: 3, 0: 44, 7: 3, 16: 1, 6: 2, 11: 1, 2: 15, 1: 2, 9: 1, 3: 13, 13: 5, 8: 1, 12: 1, 10: 1, 14: 5, 5: 1}",6.96
73000,100,14,0.711402177810669,0.09916917234659195,"{4: 3, 1: 44, 3: 3, 12: 1, 2: 2, 9: 1, 5: 16, 13: 6, 0: 18, 6: 2, 10: 1, 8: 1, 7: 1, 11: 1}",6.97
83000,100,11,0.707635760307312,0.10240914672613144,"{6: 2, 4: 45, 10: 3, 1: 6, 2: 2, 8: 1, 9: 16, 3: 5, 0: 18, 5: 1, 7: 1}",7.64
93000,100,11,0.7071624398231506,0.07193290442228317,"{1: 45, 3: 3, 2: 5, 10: 2, 7: 16, 6: 5, 4: 13, 9: 1, 8: 5, 0: 4, 5: 1}",7.40
103000,100,11,0.679667055606842,0.06970676779747009,"{6: 3, 0: 4, 5: 3, 1: 48, 8: 2, 3: 16, 2: 14, 9: 1, 10: 5, 7: 1, 4: 3}",7.94
113000,85,6,0.5293337106704712,0.07137200981378555,"{0: 4, 5: 4, 2: 56, 4: 2, 1: 14, 3: 5}",10.71
123000,100,8,0.6322165727615356,0.061228200793266296,"{1: 51, 2: 4, 3: 2, 5: 21, 6: 14, 0: 3, 7: 1, 4: 4}",8.17
133000,100,8,0.6309897899627686,0.060655172914266586,"{1: 51, 5: 4, 3: 2, 2: 21, 6: 14, 0: 3, 7: 1, 4: 4}",9.88
143000,100,8,0.6332266926765442,0.06048482283949852,"{1: 51, 5: 4, 3: 2, 6: 21, 2: 14, 0: 3, 7: 1, 4: 4}",12.10
