checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,55,0.9354912638664246,0.1796848177909851,"{0: 4, 12: 4, 50: 1, 19: 2, 45: 1, 30: 1, 43: 1, 1: 3, 23: 2, 33: 1, 46: 1, 5: 3, 14: 8, 54: 1, 42: 1, 32: 1, 17: 3, 20: 3, 22: 1, 51: 1, 21: 2, 53: 1, 52: 1, 37: 1, 8: 3, 25: 1, 40: 1, 35: 1, 3: 3, 13: 2, 10: 3, 2: 6, 47: 1, 9: 2, 26: 2, 11: 2, 31: 1, 48: 1, 34: 1, 16: 2, 27: 1, 38: 1, 49: 1, 28: 1, 6: 3, 15: 1, 24: 1, 4: 3, 29: 1, 44: 1, 41: 1, 7: 2, 18: 1, 39: 1, 36: 1}",3.06
13000,100,31,0.8835188746452332,0.3423568606376648,"{22: 1, 1: 6, 2: 3, 4: 11, 7: 4, 8: 3, 17: 1, 6: 5, 27: 1, 26: 1, 10: 4, 20: 1, 14: 5, 15: 1, 24: 1, 3: 4, 5: 23, 23: 3, 11: 3, 0: 7, 19: 1, 25: 1, 28: 1, 16: 1, 9: 1, 12: 1, 13: 1, 29: 1, 30: 2, 21: 1, 18: 1}",2.83
23000,100,24,0.841947615146637,0.34327107667922974,"{5: 2, 3: 6, 0: 9, 2: 32, 7: 5, 22: 3, 23: 1, 10: 7, 14: 1, 18: 4, 6: 2, 4: 8, 19: 1, 11: 1, 12: 1, 16: 2, 1: 5, 8: 3, 9: 2, 20: 1, 21: 1, 13: 1, 17: 1, 15: 1}",2.61
33000,100,24,0.8061574697494507,0.2984611392021179,"{2: 7, 4: 40, 15: 3, 6: 6, 1: 6, 17: 6, 8: 4, 19: 1, 0: 5, 12: 1, 3: 2, 21: 1, 18: 1, 22: 1, 14: 1, 7: 3, 16: 1, 5: 2, 10: 1, 9: 2, 20: 1, 23: 1, 11: 2, 13: 2}",2.90
43000,100,22,0.8151571154594421,0.3445185124874115,"{2: 7, 1: 43, 19: 1, 16: 6, 20: 1, 3: 6, 5: 8, 15: 1, 14: 1, 0: 2, 18: 1, 13: 1, 4: 2, 11: 8, 21: 1, 9: 1, 17: 1, 12: 1, 10: 3, 7: 3, 6: 1, 8: 1}",4.73
53000,100,19,0.8049736022949219,0.33429470658302307,"{2: 9, 0: 42, 9: 1, 7: 6, 6: 11, 3: 8, 1: 5, 17: 1, 14: 1, 8: 3, 11: 1, 4: 5, 15: 1, 10: 1, 13: 1, 12: 1, 5: 1, 18: 1, 16: 1}",4.23
63000,100,17,0.8023580312728882,0.34841495752334595,"{3: 9, 2: 44, 12: 1, 7: 6, 6: 2, 4: 7, 16: 1, 14: 5, 11: 1, 9: 1, 0: 3, 5: 6, 15: 9, 1: 2, 8: 1, 10: 1, 13: 1}",3.19
73000,100,17,0.75883549451828,0.32771164178848267,"{10: 9, 0: 46, 15: 1, 5: 3, 2: 12, 3: 5, 13: 1, 14: 1, 16: 2, 7: 4, 6: 6, 4: 3, 9: 1, 11: 1, 1: 2, 12: 1, 8: 2}",3.60
83000,100,20,0.7567031383514404,0.383355051279068,"{3: 9, 1: 49, 11: 1, 6: 2, 2: 12, 8: 5, 17: 1, 0: 2, 10: 2, 19: 1, 7: 2, 4: 2, 5: 4, 16: 1, 13: 1, 15: 2, 9: 1, 14: 1, 18: 1, 12: 1}",3.21
93000,100,15,0.7217021584510803,0.34030184149742126,"{1: 9, 2: 50, 7: 1, 3: 14, 12: 5, 11: 1, 0: 2, 13: 2, 5: 6, 10: 1, 14: 1, 9: 1, 4: 1, 6: 5, 8: 1}",3.93
103000,100,14,0.6255235075950623,0.31367817521095276,"{1: 9, 0: 67, 11: 1, 5: 5, 10: 1, 7: 3, 2: 3, 3: 5, 13: 1, 6: 1, 12: 1, 9: 1, 8: 1, 4: 1}",4.91
113000,100,13,0.6273389458656311,0.299420565366745,"{1: 10, 0: 66, 9: 1, 7: 5, 6: 1, 2: 3, 4: 2, 3: 3, 5: 5, 10: 1, 12: 1, 11: 1, 8: 1}",4.51
123000,100,15,0.6837967038154602,0.2704276740550995,"{1: 10, 10: 1, 0: 56, 5: 9, 7: 1, 12: 3, 2: 2, 3: 3, 6: 7, 11: 1, 13: 1, 9: 1, 4: 3, 8: 1, 14: 1}",6.18
133000,100,13,0.6596783995628357,0.3246554136276245,"{2: 10, 8: 1, 0: 64, 12: 6, 9: 1, 5: 3, 1: 2, 3: 3, 6: 6, 10: 1, 7: 1, 4: 1, 11: 1}",4.98
143000,98,17,0.6984831690788269,0.18115994334220886,"{1: 10, 4: 2, 5: 9, 13: 1, 7: 3, 0: 49, 2: 2, 14: 3, 6: 7, 12: 1, 3: 3, 10: 1, 9: 1, 11: 1, 8: 3, 15: 1, 16: 1}",5.98
