checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,38,0.8349666595458984,0.2518385350704193,"{5: 2, 2: 2, 0: 37, 36: 1, 12: 3, 6: 2, 31: 1, 27: 1, 8: 6, 25: 1, 1: 11, 35: 1, 19: 1, 32: 1, 20: 1, 21: 1, 15: 1, 14: 5, 24: 1, 22: 1, 33: 1, 17: 1, 28: 1, 37: 1, 13: 1, 9: 1, 34: 1, 23: 1, 11: 1, 29: 1, 3: 3, 16: 1, 30: 1, 10: 1, 7: 1, 18: 1, 26: 1, 4: 1}",2.96
13000,100,25,0.6134716272354126,0.178897425532341,"{13: 3, 4: 2, 2: 64, 8: 3, 19: 1, 1: 2, 16: 1, 23: 1, 5: 2, 21: 1, 3: 2, 20: 1, 7: 2, 17: 1, 12: 1, 6: 2, 0: 2, 9: 1, 18: 1, 14: 2, 24: 1, 22: 1, 15: 1, 10: 1, 11: 1}",2.60
23000,100,19,0.5917319655418396,0.2558160126209259,"{2: 4, 7: 2, 1: 71, 9: 1, 8: 3, 3: 3, 17: 1, 15: 1, 5: 3, 11: 1, 10: 1, 0: 2, 16: 1, 14: 1, 13: 1, 4: 1, 18: 1, 12: 1, 6: 1}",4.97
33000,100,20,0.7137722969055176,0.26263993978500366,"{0: 63, 1: 2, 16: 3, 2: 3, 10: 1, 15: 1, 13: 1, 7: 2, 19: 1, 18: 1, 11: 1, 17: 1, 14: 1, 8: 6, 3: 4, 12: 1, 9: 1, 6: 3, 4: 3, 5: 1}",4.45
43000,100,15,0.5835569500923157,0.24521607160568237,"{3: 76, 7: 2, 8: 3, 14: 1, 12: 1, 10: 1, 11: 1, 13: 1, 5: 1, 4: 2, 1: 2, 2: 5, 0: 2, 6: 1, 9: 1}",4.07
53000,100,15,0.542012095451355,0.2583599090576172,"{1: 79, 3: 2, 4: 3, 2: 2, 0: 2, 14: 1, 13: 1, 9: 1, 10: 3, 6: 1, 11: 1, 12: 1, 5: 1, 8: 1, 7: 1}",4.07
63000,100,23,0.7755597233772278,0.16781434416770935,"{10: 2, 16: 5, 21: 1, 1: 4, 7: 3, 15: 4, 3: 48, 2: 2, 20: 1, 9: 3, 13: 1, 22: 7, 8: 2, 6: 2, 11: 1, 18: 3, 14: 2, 19: 1, 0: 2, 17: 1, 4: 2, 5: 2, 12: 1}",7.17
73000,100,23,0.7987614870071411,0.03646312281489372,"{2: 3, 6: 7, 16: 1, 0: 2, 22: 1, 14: 2, 13: 3, 9: 40, 1: 2, 20: 2, 4: 4, 21: 1, 7: 3, 5: 3, 11: 1, 10: 1, 3: 4, 17: 1, 8: 4, 15: 1, 18: 1, 19: 3, 12: 10}",10.47
83000,100,30,0.8084213733673096,0.03267008438706398,"{17: 2, 5: 7, 13: 2, 0: 2, 26: 1, 16: 5, 20: 1, 1: 2, 18: 1, 8: 41, 29: 1, 4: 2, 24: 1, 23: 3, 7: 3, 28: 1, 15: 1, 25: 1, 2: 3, 3: 4, 22: 1, 21: 1, 10: 1, 19: 1, 6: 3, 27: 1, 14: 1, 12: 1, 9: 4, 11: 2}",8.93
93000,100,24,0.8046145439147949,0.005319750402122736,"{5: 2, 8: 7, 16: 2, 7: 5, 14: 1, 22: 40, 17: 2, 9: 3, 18: 2, 3: 3, 23: 1, 12: 1, 4: 2, 2: 4, 0: 5, 6: 3, 19: 2, 15: 1, 20: 1, 11: 1, 10: 3, 13: 1, 21: 1, 1: 7}",9.60
103000,76,19,0.6983343362808228,0.006342386361211538,"{8: 2, 12: 2, 14: 5, 16: 1, 4: 40, 2: 3, 5: 2, 10: 3, 15: 1, 13: 1, 7: 1, 6: 2, 1: 5, 3: 2, 11: 1, 17: 1, 0: 2, 18: 1, 9: 1}",11.28
113000,42,14,0.8690263628959656,0.13957691192626953,"{8: 2, 12: 2, 3: 5, 10: 3, 4: 3, 0: 7, 6: 2, 7: 6, 1: 5, 5: 2, 2: 2, 11: 1, 13: 1, 9: 1}",9.93
123000,69,14,0.6413837671279907,0.0057959044352173805,"{6: 2, 5: 2, 4: 5, 12: 40, 10: 3, 2: 3, 9: 1, 8: 1, 1: 2, 0: 5, 3: 2, 11: 1, 13: 1, 7: 1}",10.87
133000,22,12,0.8748028874397278,0.18815048038959503,"{1: 2, 5: 2, 3: 3, 7: 1, 11: 1, 6: 2, 0: 4, 4: 2, 10: 1, 2: 2, 8: 1, 9: 1}",11.74
143000,18,8,0.8361958861351013,0.17642371356487274,"{7: 3, 4: 2, 3: 3, 5: 1, 0: 4, 2: 2, 1: 2, 6: 1}",11.67
