checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,44,0.9215818047523499,0.1216350719332695,"{20: 2, 18: 2, 36: 1, 22: 1, 28: 1, 10: 10, 39: 1, 41: 1, 34: 1, 0: 2, 43: 1, 40: 1, 8: 3, 2: 17, 32: 1, 31: 1, 30: 1, 29: 1, 42: 1, 1: 2, 26: 1, 12: 4, 35: 1, 33: 1, 4: 2, 6: 3, 21: 1, 9: 5, 7: 3, 14: 1, 5: 3, 24: 1, 23: 1, 19: 2, 16: 1, 25: 1, 37: 1, 11: 1, 3: 11, 17: 1, 27: 1, 13: 1, 15: 1, 38: 1}",3.93
13000,71,9,0.6065219044685364,3.6529915203864505e-10,"{0: 4, 5: 15, 7: 1, 2: 4, 8: 1, 3: 1, 1: 42, 6: 2, 4: 1}",7.89
23000,27,9,0.6442423462867737,5.781650713743147e-08,"{1: 14, 8: 1, 2: 4, 6: 1, 4: 1, 0: 3, 7: 1, 5: 1, 3: 1}",5.67
33000,38,7,0.6368128061294556,2.366568594425189e-07,"{1: 14, 2: 15, 0: 4, 4: 1, 3: 2, 6: 1, 5: 1}",5.86
43000,4,1,2.384185791015625e-07,2.384185791015625e-07,{0: 4},6.11
53000,4,1,0.0,0.0,{0: 4},6.09
63000,5,2,0.4219520688056946,1.1920928955078125e-07,"{0: 4, 1: 1}",6.08
73000,4,1,0.0,0.0,{0: 4},6.15
83000,4,1,0.0,0.0,{0: 4},6.11
93000,5,2,0.4739553928375244,0.0,"{0: 4, 1: 1}",6.08
103000,4,1,0.0,0.0,{0: 4},6.17
